"Lipid","Feature","SumOfAllFragmentsIntensities","Class","Adduct"
"1_TG(16:0_18:0_18:2)+Na","272",4772138.568,"TG","[M+Na]+"
"1_TG(16:0_18:1_18:1)+Na","272",5065703.5,"TG","[M+Na]+"
"1_TG(16:1_18:0_18:1)+Na","272",4884464.857,"TG","[M+Na]+"
"1_TG(16:0_16:0_20:1)+Na","352",3772589.996,"TG","[M+Na]+"
"1_TG(16:0_18:0_18:1)+Na","352",4058519.5,"TG","[M+Na]+"
"1_TG(17:1_18:0_18:2)+Na","608",1641421.607,"TG","[M+Na]+"
"1_TG(17:0_18:1_18:2)+Na","608",1728362.16,"TG","[M+Na]+"
"1_TG(17:1_18:1_18:1)+Na","608",1640404.637,"TG","[M+Na]+"
"1_TG(17:0_18:0_18:2)+Na","715",1268854.117,"TG","[M+Na]+"
"1_TG(17:1_17:1_19:0)+Na","715",1227027.121,"TG","[M+Na]+"
"1_TG(17:1_18:0_18:1)+Na","715",1294507.57,"TG","[M+Na]+"
"1_TG(16:0_18:2_19:0)+Na","715",1235929.832,"TG","[M+Na]+"
"1_TG(17:0_18:1_18:1)+Na","715",1314176.9,"TG","[M+Na]+"
"1_TG(18:2_18:2_18:3)+Na","482",2828173.9,"TG","[M+Na]+"
"1_TG(18:1_18:2_18:4)+Na","482",2720346.437,"TG","[M+Na]+"
"1_TG(16:1_18:2_20:4)+Na","482",2710545.836,"TG","[M+Na]+"
"1_TG(18:1_18:3_18:3)+Na","482",2605726.61,"TG","[M+Na]+"
"1_TG(18:2_18:2_18:2)+Na","309",4444584,"TG","[M+Na]+"
"1_TG(18:2_18:2_18:2)+Na","398",2147423.84,"TG","[M+Na]+"
"1_TG(16:0_18:2_20:4)+Na","398",2245469.55,"TG","[M+Na]+"
"1_TG(14:0_18:2_22:4)+Na","309",4446813.7,"TG","[M+Na]+"
"1_TG(18:0_18:3_18:3)+Na","398",2131577.264,"TG","[M+Na]+"
"1_TG(18:1_18:2_18:3)+Na","309",4650593.64,"TG","[M+Na]+"
"1_TG(18:1_18:2_18:3)+Na","398",2241602.11,"TG","[M+Na]+"
"1_TG(18:1_18:1_18:4)+Na","309",4063513.433,"TG","[M+Na]+"
"1_TG(16:1_16:1_22:4)+Na","309",3972462.459,"TG","[M+Na]+"
"1_TG(16:0_18:3_20:3)+Na","309",4090633.433,"TG","[M+Na]+"
"1_TG(16:0_18:3_20:3)+Na","398",2166143.275,"TG","[M+Na]+"
"1_TG(16:0_16:1_22:5)+Na","398",2183618.11,"TG","[M+Na]+"
"1_TG(16:1_18:2_20:3)+Na","309",4454301.149,"TG","[M+Na]+"
"1_TG(16:1_18:2_20:3)+Na","398",2194382.045,"TG","[M+Na]+"
"1_TG(16:1_18:1_20:4)+Na","398",2270476.91,"TG","[M+Na]+"
"1_TG(14:0_18:1_22:5)+Na","398",2175488.3,"TG","[M+Na]+"
"1_TG(14:0_20:3_20:3)+Na","309",3974958.39,"TG","[M+Na]+"
"1_TG(14:0_20:3_20:3)+Na","398",2106034.005,"TG","[M+Na]+"
"1_TG(18:1_18:2_18:2)+Na","300",4064857.3,"TG","[M+Na]+"
"1_TG(18:1_18:2_18:2)+Na","304",3007621.67,"TG","[M+Na]+"
"1_TG(18:0_18:2_18:3)+Na","304",2974179.45,"TG","[M+Na]+"
"1_TG(18:0_18:1_18:4)+Na","304",2968880.208,"TG","[M+Na]+"
"1_TG(16:0_16:0_22:5)+Na","304",2988049.788,"TG","[M+Na]+"
"1_TG(16:0_16:1_22:4)+Na","304",2989206.274,"TG","[M+Na]+"
"1_TG(16:0_18:2_20:3)+Na","304",3061954.91,"TG","[M+Na]+"
"1_TG(16:0_18:1_20:4)+Na","304",3148876.85,"TG","[M+Na]+"
"1_TG(16:1_18:0_20:4)+Na","304",2969492.513,"TG","[M+Na]+"
"1_TG(18:1_18:1_18:3)+Na","300",3797112.126,"TG","[M+Na]+"
"1_TG(18:1_18:1_18:3)+Na","304",2996455.86,"TG","[M+Na]+"
"1_TG(16:1_18:1_20:3)+Na","304",2988753.503,"TG","[M+Na]+"
"1_TG(18:0_18:2_18:2)+Na","368",3459341.55,"TG","[M+Na]+"
"1_TG(16:0_18:2_20:2)+Na","368",3455054.495,"TG","[M+Na]+"
"1_TG(18:1_18:1_18:2)+Na","368",3587257.1,"TG","[M+Na]+"
"1_TG(18:0_18:1_18:3)+Na","368",3561314.3,"TG","[M+Na]+"
"1_TG(16:0_18:1_20:3)+Na","368",3564809.63,"TG","[M+Na]+"
"1_TG(18:0_18:1_18:2)+Na","423",3286381.46,"TG","[M+Na]+"
"1_TG(18:0_18:0_18:3)+Na","423",3074561.825,"TG","[M+Na]+"
"1_TG(16:0_18:2_20:1)+Na","423",3043032.9,"TG","[M+Na]+"
"1_TG(16:0_18:1_20:2)+Na","423",3150276.34,"TG","[M+Na]+"
"1_TG(18:1_18:1_18:1)+Na","423",3134204.1,"TG","[M+Na]+"
"1_TG(18:0_18:1_18:1)+Na","386",4102824.7,"TG","[M+Na]+"
"1_TG(16:0_18:1_20:1)+Na","386",4004364.13,"TG","[M+Na]+"
"1_TG(18:0_18:0_18:1)+Na","602",2541459.26,"TG","[M+Na]+"
"1_TG(16:0_18:1_20:0)+Na","602",2435612.24,"TG","[M+Na]+"
"1_TG(16:0_18:0_20:1)+Na","602",2495625.297,"TG","[M+Na]+"
"1_TG(18:2_18:2_20:5)+Na","1168",984127.87,"TG","[M+Na]+"
"1_TG(18:2_18:3_20:4)+Na","1168",981609.41,"TG","[M+Na]+"
"1_TG(18:2_18:2_20:3)+Na","485",3457389.533,"TG","[M+Na]+"
"1_TG(18:1_18:2_20:4)+Na","485",3667882.6,"TG","[M+Na]+"
"1_TG(16:0_18:2_22:5)+Na","485",3533300.89,"TG","[M+Na]+"
"1_TG(16:0_20:3_20:4)+Na","485",3496983.643,"TG","[M+Na]+"
"1_TG(18:0_18:2_20:4)+Na","378",4897478.141,"TG","[M+Na]+"
"1_TG(16:0_18:2_22:4)+Na","378",4909629.92,"TG","[M+Na]+"
"1_TG(16:0_18:0_22:6)+Na","378",4879309.822,"TG","[M+Na]+"
"1_TG(18:1_18:1_20:4)+Na","378",5121764.7,"TG","[M+Na]+"
"1_TG(18:0_18:1_20:5)+Na","378",4995081.927,"TG","[M+Na]+"
"1_TG(18:1_18:2_20:3)+Na","378",5022772.09,"TG","[M+Na]+"
"1_TG(18:0_18:3_20:3)+Na","378",4782247.951,"TG","[M+Na]+"
"1_TG(16:0_18:1_22:5)+Na","378",5185973.93,"TG","[M+Na]+"
"1_TG(16:0_20:3_20:3)+Na","378",4883299.56,"TG","[M+Na]+"
"1_TG(18:0_18:1_20:4)+Na","525",3764632.4,"TG","[M+Na]+"
"1_TG(18:2_18:2_20:1)+Na","525",3402956.946,"TG","[M+Na]+"
"1_TG(18:0_18:2_20:3)+Na","525",3571309.968,"TG","[M+Na]+"
"1_TG(16:0_18:1_22:4)+Na","525",3543888.231,"TG","[M+Na]+"
"1_TG(16:0_18:0_22:5)+Na","525",3555160.759,"TG","[M+Na]+"
"1_TG(16:0_20:1_20:4)+Na","525",3521419.598,"TG","[M+Na]+"
"1_TG(18:1_18:1_20:3)+Na","525",3554919.89,"TG","[M+Na]+"
"1_TG(10:0_8:0_8:0)+NH4","2926",65982.79,"TG","[M+NH4]+"
"1_TG(12:0_12:0_12:0)+NH4","876",438349.4,"TG","[M+NH4]+"
"1_TG(10:0_10:0_16:0)+NH4","876",137931.71,"TG","[M+NH4]+"
"1_TG(10:0_12:0_14:0)+NH4","876",612240.83,"TG","[M+NH4]+"
"1_TG(12:0_16:0_8:0)+NH4","876",510698.39,"TG","[M+NH4]+"
"1_TG(14:0_14:0_8:0)+NH4","876",108308.71,"TG","[M+NH4]+"
"1_TG(12:0_12:0_14:0)+NH4","676",844159.7,"TG","[M+NH4]+"
"1_TG(10:0_10:0_18:0)+NH4","676",83153.72,"TG","[M+NH4]+"
"1_TG(10:0_12:0_16:0)+NH4","676",745734.25,"TG","[M+NH4]+"
"1_TG(10:0_14:0_14:0)+NH4","676",364777.35,"TG","[M+NH4]+"
"1_TG(12:0_18:0_8:0)+NH4","676",627385.98,"TG","[M+NH4]+"
"1_TG(14:0_16:0_8:0)+NH4","676",518328.91,"TG","[M+NH4]+"
"1_TG(12:0_12:0_16:1)+NH4","931",193748.898,"TG","[M+NH4]+"
"1_TG(12:0_14:0_14:1)+NH4","931",257383.558,"TG","[M+NH4]+"
"1_TG(10:0_12:0_18:1)+NH4","931",387728.508,"TG","[M+NH4]+"
"1_TG(10:0_14:1_16:0)+NH4","931",258871.858,"TG","[M+NH4]+"
"1_TG(10:0_14:0_16:1)+NH4","931",292202.598,"TG","[M+NH4]+"
"1_TG(14:0_18:1_8:0)+NH4","931",368049.128,"TG","[M+NH4]+"
"1_TG(16:0_16:1_8:0)+NH4","931",283927.218,"TG","[M+NH4]+"
"1_TG(12:0_12:0_16:0)+NH4","314",1509266.779,"TG","[M+NH4]+"
"1_TG(12:0_14:0_14:0)+NH4","314",1545442.479,"TG","[M+NH4]+"
"1_TG(10:0_12:0_18:0)+NH4","314",1113379.809,"TG","[M+NH4]+"
"1_TG(10:0_14:0_16:0)+NH4","314",1269454.479,"TG","[M+NH4]+"
"1_TG(14:0_18:0_8:0)+NH4","314",775517.009,"TG","[M+NH4]+"
"1_TG(16:0_16:0_8:0)+NH4","314",692234.979,"TG","[M+NH4]+"
"1_TG(12:0_12:0_18:2)+NH4","505",1174934.04,"TG","[M+NH4]+"
"1_TG(10:0_14:0_18:2)+NH4","505",1047418.44,"TG","[M+NH4]+"
"1_TG(16:0_18:2_8:0)+NH4","505",1128131.34,"TG","[M+NH4]+"
"1_TG(14:0_14:1_14:1)+NH4","505",220379.59,"TG","[M+NH4]+"
"1_TG(12:0_14:1_16:1)+NH4","505",555060.22,"TG","[M+NH4]+"
"1_TG(10:0_14:1_18:1)+NH4","505",303876.69,"TG","[M+NH4]+"
"1_TG(10:0_16:1_16:1)+NH4","505",220548.17,"TG","[M+NH4]+"
"1_TG(16:1_18:1_8:0)+NH4","505",373333.87,"TG","[M+NH4]+"
"1_TG(14:0_14:0_14:1)+NH4","268",383005.7,"TG","[M+NH4]+"
"1_TG(12:0_12:0_18:1)+NH4","268",2190698.32,"TG","[M+NH4]+"
"1_TG(12:0_14:1_16:0)+NH4","268",2098422.5,"TG","[M+NH4]+"
"1_TG(12:0_14:0_16:1)+NH4","268",1787870.42,"TG","[M+NH4]+"
"1_TG(12:0_15:0_15:1)+NH4","268",1321156.33,"TG","[M+NH4]+"
"1_TG(10:0_12:0_20:1)+NH4","268",1551042.985,"TG","[M+NH4]+"
"1_TG(10:0_14:1_18:0)+NH4","268",347295.16,"TG","[M+NH4]+"
"1_TG(10:0_14:0_18:1)+NH4","268",1398735.52,"TG","[M+NH4]+"
"1_TG(10:0_15:0_17:1)+NH4","268",246955.115,"TG","[M+NH4]+"
"1_TG(10:0_16:0_16:1)+NH4","268",1125290.22,"TG","[M+NH4]+"
"1_TG(14:0_20:1_8:0)+NH4","268",619278.785,"TG","[M+NH4]+"
"1_TG(16:1_18:0_8:0)+NH4","268",538306.48,"TG","[M+NH4]+"
"1_TG(16:0_18:1_8:0)+NH4","268",1900298.92,"TG","[M+NH4]+"
"1_TG(14:0_14:0_14:0)+NH4","161",2088830.63,"TG","[M+NH4]+"
"1_TG(12:0_12:0_18:0)+NH4","161",1991760.93,"TG","[M+NH4]+"
"1_TG(12:0_14:0_16:0)+NH4","161",6088143.63,"TG","[M+NH4]+"
"1_TG(10:0_14:0_18:0)+NH4","161",2619861.53,"TG","[M+NH4]+"
"1_TG(10:0_16:0_16:0)+NH4","161",2576534.23,"TG","[M+NH4]+"
"1_TG(13:0_13:0_16:0)+NH4","161",2262678.623,"TG","[M+NH4]+"
"1_TG(13:0_14:0_15:0)+NH4","161",2099071.778,"TG","[M+NH4]+"
"1_TG(12:0_15:0_15:0)+NH4","161",1784826.785,"TG","[M+NH4]+"
"1_TG(12:0_12:0_20:3)+NH4","728",128223.565,"TG","[M+NH4]+"
"1_TG(12:0_14:1_18:2)+NH4","728",482937.385,"TG","[M+NH4]+"
"1_TG(12:0_14:0_18:3)+NH4","728",457167.265,"TG","[M+NH4]+"
"1_TG(10:0_14:1_20:2)+NH4","728",148036.005,"TG","[M+NH4]+"
"1_TG(10:0_14:0_20:3)+NH4","728",219635.205,"TG","[M+NH4]+"
"1_TG(10:0_16:1_18:2)+NH4","728",505971.105,"TG","[M+NH4]+"
"1_TG(10:0_16:0_18:3)+NH4","728",554570.805,"TG","[M+NH4]+"
"1_TG(16:1_20:2_8:0)+NH4","728",232361.245,"TG","[M+NH4]+"
"1_TG(16:0_20:3_8:0)+NH4","728",378330.265,"TG","[M+NH4]+"
"1_TG(18:1_18:2_8:0)+NH4","728",652202.965,"TG","[M+NH4]+"
"1_TG(14:1_14:1_16:1)+NH4","728",139116.285,"TG","[M+NH4]+"
"1_TG(12:0_12:0_20:2)+NH4","205",636982.381,"TG","[M+NH4]+"
"1_TG(12:0_14:0_18:2)+NH4","205",3242839.03,"TG","[M+NH4]+"
"1_TG(10:0_14:0_20:2)+NH4","205",1593302.981,"TG","[M+NH4]+"
"1_TG(10:0_16:0_18:2)+NH4","205",4212022.03,"TG","[M+NH4]+"
"1_TG(16:0_20:2_8:0)+NH4","205",1422741.981,"TG","[M+NH4]+"
"1_TG(18:0_18:2_8:0)+NH4","205",2118457.19,"TG","[M+NH4]+"
"1_TG(14:1_14:1_16:0)+NH4","205",1539165.73,"TG","[M+NH4]+"
"1_TG(14:0_14:1_16:1)+NH4","205",1272025.83,"TG","[M+NH4]+"
"1_TG(12:0_14:1_18:1)+NH4","205",1401683.13,"TG","[M+NH4]+"
"1_TG(12:0_16:1_16:1)+NH4","205",1019269.53,"TG","[M+NH4]+"
"1_TG(10:0_14:1_20:1)+NH4","205",1153225.761,"TG","[M+NH4]+"
"1_TG(10:0_16:1_18:1)+NH4","205",1898459.03,"TG","[M+NH4]+"
"1_TG(16:1_20:1_8:0)+NH4","205",510257.661,"TG","[M+NH4]+"
"1_TG(18:1_18:1_8:0)+NH4","205",685805.53,"TG","[M+NH4]+"
"1_TG(14:0_14:0_16:1)+NH4","116",2385146.14,"TG","[M+NH4]+"
"1_TG(14:0_15:0_15:1)+NH4","116",1725563.524,"TG","[M+NH4]+"
"1_TG(14:0_14:1_16:0)+NH4","116",4416739.24,"TG","[M+NH4]+"
"1_TG(13:0_14:0_17:1)+NH4","116",1716343.507,"TG","[M+NH4]+"
"1_TG(13:0_15:1_16:0)+NH4","116",2400227.303,"TG","[M+NH4]+"
"1_TG(12:0_12:0_20:1)+NH4","116",1758848.09,"TG","[M+NH4]+"
"1_TG(12:0_14:1_18:0)+NH4","116",2259119.34,"TG","[M+NH4]+"
"1_TG(12:0_14:0_18:1)+NH4","116",5889601.04,"TG","[M+NH4]+"
"1_TG(12:0_15:0_17:1)+NH4","116",1755977.728,"TG","[M+NH4]+"
"1_TG(12:0_16:0_16:1)+NH4","116",4772357.14,"TG","[M+NH4]+"
"1_TG(10:0_14:0_20:1)+NH4","116",2732524.09,"TG","[M+NH4]+"
"1_TG(10:0_16:1_18:0)+NH4","116",1882037.24,"TG","[M+NH4]+"
"1_TG(10:0_16:0_18:1)+NH4","116",5871199.04,"TG","[M+NH4]+"
"1_TG(16:0_20:1_8:0)+NH4","116",2476494.47,"TG","[M+NH4]+"
"1_TG(18:0_18:1_8:0)+NH4","116",2743251.52,"TG","[M+NH4]+"
"1_TG(14:1_15:0_15:0)+NH4","116",397494.218,"TG","[M+NH4]+"
"1_TG(13:0_13:0_18:1)+NH4","116",2511556.797,"TG","[M+NH4]+"
"1_TG(13:0_15:0_16:1)+NH4","116",720893.875,"TG","[M+NH4]+"
"1_TG(14:0_14:0_16:0)+NH4","124",10130631.13,"TG","[M+NH4]+"
"1_TG(12:0_12:0_20:0)+NH4","124",2263195.706,"TG","[M+NH4]+"
"1_TG(12:0_14:0_18:0)+NH4","124",6679533.53,"TG","[M+NH4]+"
"1_TG(12:0_16:0_16:0)+NH4","124",8352428.13,"TG","[M+NH4]+"
"1_TG(10:0_14:0_20:0)+NH4","124",4117827.046,"TG","[M+NH4]+"
"1_TG(10:0_16:0_18:0)+NH4","124",6616375.87,"TG","[M+NH4]+"
"1_TG(16:0_20:0_8:0)+NH4","124",6134580.519,"TG","[M+NH4]+"
"1_TG(18:0_18:0_8:0)+NH4","124",453116.343,"TG","[M+NH4]+"
"1_TG(14:0_15:0_15:0)+NH4","124",4072796.29,"TG","[M+NH4]+"
"1_TG(13:0_13:0_18:0)+NH4","124",455403.881,"TG","[M+NH4]+"
"1_TG(13:0_14:0_17:0)+NH4","124",4050602.89,"TG","[M+NH4]+"
"1_TG(13:0_15:0_16:0)+NH4","124",6168265.641,"TG","[M+NH4]+"
"1_TG(12:0_15:0_17:0)+NH4","124",2299108.699,"TG","[M+NH4]+"
"1_TG(10:0_17:0_17:0)+NH4","124",113772.879,"TG","[M+NH4]+"
"1_TG(14:0_14:0_17:0)+NH4","48",231457.54,"TG","[M+NH4]+"
"1_TG(14:0_15:0_16:0)+NH4","48",26307423.3,"TG","[M+NH4]+"
"1_TG(13:0_14:0_18:0)+NH4","48",234445.04,"TG","[M+NH4]+"
"1_TG(13:0_16:0_16:0)+NH4","48",266822.08,"TG","[M+NH4]+"
"1_TG(12:0_15:0_18:0)+NH4","48",26071520.15,"TG","[M+NH4]+"
"1_TG(12:0_16:0_17:0)+NH4","48",315507.53,"TG","[M+NH4]+"
"1_TG(10:0_17:0_18:0)+NH4","48",142089.091,"TG","[M+NH4]+"
"1_TG(15:0_15:0_15:0)+NH4","48",26019847.2,"TG","[M+NH4]+"
"1_TG(15:0_15:0_15:0)+NH4","9127",9648.58,"TG","[M+NH4]+"
"1_TG(13:0_15:0_17:0)+NH4","48",26084296.32,"TG","[M+NH4]+"
"1_TG(10:0_18:2_18:2)+NH4","642",825313.55,"TG","[M+NH4]+"
"1_TG(14:1_14:1_18:2)+NH4","642",596348.77,"TG","[M+NH4]+"
"1_TG(14:0_14:1_18:3)+NH4","642",213729.13,"TG","[M+NH4]+"
"1_TG(12:0_14:1_20:3)+NH4","642",77780.744,"TG","[M+NH4]+"
"1_TG(12:0_16:1_18:3)+NH4","642",249421.64,"TG","[M+NH4]+"
"1_TG(12:0_17:2_17:2)+NH4","642",47469.09,"TG","[M+NH4]+"
"1_TG(10:0_16:1_20:3)+NH4","642",316697.134,"TG","[M+NH4]+"
"1_TG(10:0_18:1_18:3)+NH4","642",540347.05,"TG","[M+NH4]+"
"1_TG(14:0_14:0_18:3)+NH4","255",270376.91,"TG","[M+NH4]+"
"1_TG(14:0_14:1_18:2)+NH4","255",1555744.24,"TG","[M+NH4]+"
"1_TG(12:0_14:1_20:2)+NH4","255",687356.804,"TG","[M+NH4]+"
"1_TG(12:0_14:0_20:3)+NH4","255",726657.76,"TG","[M+NH4]+"
"1_TG(12:0_16:1_18:2)+NH4","255",2258728.14,"TG","[M+NH4]+"
"1_TG(12:0_16:0_18:3)+NH4","255",751990.41,"TG","[M+NH4]+"
"1_TG(10:0_14:1_22:2)+NH4","255",730210.84,"TG","[M+NH4]+"
"1_TG(10:0_16:1_20:2)+NH4","255",1148226.104,"TG","[M+NH4]+"
"1_TG(10:0_16:0_20:3)+NH4","255",766316.46,"TG","[M+NH4]+"
"1_TG(10:0_18:0_18:3)+NH4","255",606195.944,"TG","[M+NH4]+"
"1_TG(10:0_18:1_18:2)+NH4","255",2363748.54,"TG","[M+NH4]+"
"1_TG(14:1_14:1_18:1)+NH4","255",836805.74,"TG","[M+NH4]+"
"1_TG(14:1_16:1_16:1)+NH4","255",778132.24,"TG","[M+NH4]+"
"1_TG(15:1_15:1_16:0)+NH4","94",5121598.088,"TG","[M+NH4]+"
"1_TG(14:0_14:0_18:2)+NH4","94",9587968.4,"TG","[M+NH4]+"
"1_TG(14:0_15:1_17:1)+NH4","94",3044906.515,"TG","[M+NH4]+"
"1_TG(12:0_14:0_20:2)+NH4","94",6967749.459,"TG","[M+NH4]+"
"1_TG(12:0_16:0_18:2)+NH4","94",15588772.4,"TG","[M+NH4]+"
"1_TG(12:0_17:1_17:1)+NH4","94",4043376.827,"TG","[M+NH4]+"
"1_TG(10:0_16:0_20:2)+NH4","94",5684901.859,"TG","[M+NH4]+"
"1_TG(10:0_18:0_18:2)+NH4","94",7429920.5,"TG","[M+NH4]+"
"1_TG(15:0_15:1_16:1)+NH4","94",1959638.421,"TG","[M+NH4]+"
"1_TG(14:0_16:1_16:1)+NH4","94",4871993.4,"TG","[M+NH4]+"
"1_TG(14:1_14:1_18:0)+NH4","94",707716.7,"TG","[M+NH4]+"
"1_TG(14:0_14:1_18:1)+NH4","94",6057685,"TG","[M+NH4]+"
"1_TG(14:1_15:0_17:1)+NH4","94",511668.76,"TG","[M+NH4]+"
"1_TG(14:1_16:0_16:1)+NH4","94",7336803,"TG","[M+NH4]+"
"1_TG(13:0_13:0_20:2)+NH4","94",131534.951,"TG","[M+NH4]+"
"1_TG(13:0_15:1_18:1)+NH4","94",2760151.58,"TG","[M+NH4]+"
"1_TG(13:0_15:0_18:2)+NH4","94",6676525.225,"TG","[M+NH4]+"
"1_TG(13:0_16:1_17:1)+NH4","94",1959891.319,"TG","[M+NH4]+"
"1_TG(12:0_14:1_20:1)+NH4","94",4429069.589,"TG","[M+NH4]+"
"1_TG(12:0_16:1_18:1)+NH4","94",8507752.4,"TG","[M+NH4]+"
"1_TG(10:0_16:1_20:1)+NH4","94",2514813.389,"TG","[M+NH4]+"
"1_TG(10:0_18:1_18:1)+NH4","94",3311184.8,"TG","[M+NH4]+"
"1_TG(15:0_15:1_16:0)+NH4","63",7159867.802,"TG","[M+NH4]+"
"1_TG(14:0_14:0_18:1)+NH4","63",9356733.23,"TG","[M+NH4]+"
"1_TG(14:0_15:1_17:0)+NH4","63",3820382.292,"TG","[M+NH4]+"
"1_TG(14:0_15:0_17:1)+NH4","63",3834707.692,"TG","[M+NH4]+"
"1_TG(14:0_16:0_16:1)+NH4","63",12835705.23,"TG","[M+NH4]+"
"1_TG(14:0_14:1_18:0)+NH4","63",4980374.03,"TG","[M+NH4]+"
"1_TG(14:1_16:0_16:0)+NH4","63",7891077.03,"TG","[M+NH4]+"
"1_TG(13:0_15:1_18:0)+NH4","63",515845.241,"TG","[M+NH4]+"
"1_TG(13:0_16:0_17:1)+NH4","63",7160646.131,"TG","[M+NH4]+"
"1_TG(12:0_14:1_20:0)+NH4","63",3821940.478,"TG","[M+NH4]+"
"1_TG(12:0_14:0_20:1)+NH4","63",6816523.48,"TG","[M+NH4]+"
"1_TG(12:0_16:1_18:0)+NH4","63",5457319.23,"TG","[M+NH4]+"
"1_TG(12:0_16:0_18:1)+NH4","63",15676302.23,"TG","[M+NH4]+"
"1_TG(12:0_17:0_17:1)+NH4","63",3086797.182,"TG","[M+NH4]+"
"1_TG(10:0_16:1_20:0)+NH4","63",2242041.878,"TG","[M+NH4]+"
"1_TG(10:0_16:0_20:1)+NH4","63",7351254.68,"TG","[M+NH4]+"
"1_TG(10:0_18:0_18:1)+NH4","63",6241072.43,"TG","[M+NH4]+"
"1_TG(15:0_15:0_16:1)+NH4","63",2062494.52,"TG","[M+NH4]+"
"1_TG(14:1_15:0_17:0)+NH4","63",851680.1,"TG","[M+NH4]+"
"1_TG(13:0_13:0_20:1)+NH4","63",108940.209,"TG","[M+NH4]+"
"1_TG(13:0_15:0_18:1)+NH4","63",5651496.249,"TG","[M+NH4]+"
"1_TG(13:0_16:1_17:0)+NH4","63",2062988.739,"TG","[M+NH4]+"
"1_TG(14:0_14:0_18:0)+NH4","131",3641924.72,"TG","[M+NH4]+"
"1_TG(14:0_16:0_16:0)+NH4","131",9496093.32,"TG","[M+NH4]+"
"1_TG(12:0_12:0_22:0)+NH4","131",331238.35,"TG","[M+NH4]+"
"1_TG(12:0_14:0_20:0)+NH4","131",3471355.767,"TG","[M+NH4]+"
"1_TG(12:0_16:0_18:0)+NH4","131",7128012.72,"TG","[M+NH4]+"
"1_TG(10:0_14:0_22:0)+NH4","131",3181221.916,"TG","[M+NH4]+"
"1_TG(10:0_16:0_20:0)+NH4","131",6373444.333,"TG","[M+NH4]+"
"1_TG(10:0_18:0_18:0)+NH4","131",514819.286,"TG","[M+NH4]+"
"1_TG(15:0_15:0_16:0)+NH4","131",6397614.09,"TG","[M+NH4]+"
"1_TG(14:0_15:0_17:0)+NH4","131",3219669.04,"TG","[M+NH4]+"
"1_TG(13:0_13:0_20:0)+NH4","131",38925.969,"TG","[M+NH4]+"
"1_TG(13:0_15:0_18:0)+NH4","131",544998.692,"TG","[M+NH4]+"
"1_TG(13:0_16:0_17:0)+NH4","131",6371806.472,"TG","[M+NH4]+"
"1_TG(12:0_17:0_17:0)+NH4","131",341059.27,"TG","[M+NH4]+"
"1_TG(15:1_15:1_17:0)+NH4","407",116834.57,"TG","[M+NH4]+"
"1_TG(15:0_15:1_17:1)+NH4","407",644505.51,"TG","[M+NH4]+"
"1_TG(15:1_16:0_16:1)+NH4","407",471298.01,"TG","[M+NH4]+"
"1_TG(14:0_15:1_18:1)+NH4","407",680948.71,"TG","[M+NH4]+"
"1_TG(14:0_15:0_18:2)+NH4","407",1057850.12,"TG","[M+NH4]+"
"1_TG(14:0_16:1_17:1)+NH4","407",723167.62,"TG","[M+NH4]+"
"1_TG(14:0_16:0_17:2)+NH4","407",518329.39,"TG","[M+NH4]+"
"1_TG(14:1_15:1_18:0)+NH4","407",203494.675,"TG","[M+NH4]+"
"1_TG(14:1_16:0_17:1)+NH4","407",568757.32,"TG","[M+NH4]+"
"1_TG(13:0_14:0_20:2)+NH4","407",409470.95,"TG","[M+NH4]+"
"1_TG(13:0_16:0_18:2)+NH4","407",689933.46,"TG","[M+NH4]+"
"1_TG(13:0_17:1_17:1)+NH4","407",319916.86,"TG","[M+NH4]+"
"1_TG(12:0_15:0_20:2)+NH4","407",495399.01,"TG","[M+NH4]+"
"1_TG(12:0_17:2_18:0)+NH4","407",122947.755,"TG","[M+NH4]+"
"1_TG(12:0_17:1_18:1)+NH4","407",650829.72,"TG","[M+NH4]+"
"1_TG(12:0_17:0_18:2)+NH4","407",546903.48,"TG","[M+NH4]+"
"1_TG(10:0_17:0_20:2)+NH4","407",75601.038,"TG","[M+NH4]+"
"1_TG(15:0_15:0_17:2)+NH4","407",390798.89,"TG","[M+NH4]+"
"1_TG(15:0_16:1_16:1)+NH4","407",593924.92,"TG","[M+NH4]+"
"1_TG(14:1_15:0_18:1)+NH4","407",853969.62,"TG","[M+NH4]+"
"1_TG(14:1_16:1_17:0)+NH4","407",415360.88,"TG","[M+NH4]+"
"1_TG(13:0_16:1_18:1)+NH4","407",640463.26,"TG","[M+NH4]+"
"1_TG(13:0_17:0_17:2)+NH4","407",170223.79,"TG","[M+NH4]+"
"1_TG(15:1_16:0_16:0)+NH4","319",874340.67,"TG","[M+NH4]+"
"1_TG(14:0_15:1_18:0)+NH4","319",803222.38,"TG","[M+NH4]+"
"1_TG(14:0_16:0_17:1)+NH4","319",1904540.15,"TG","[M+NH4]+"
"1_TG(12:0_17:1_18:0)+NH4","319",478669.03,"TG","[M+NH4]+"
"1_TG(15:0_15:0_17:1)+NH4","319",1130012.95,"TG","[M+NH4]+"
"1_TG(15:0_16:0_16:1)+NH4","319",1964524.65,"TG","[M+NH4]+"
"1_TG(15:0_15:1_17:0)+NH4","319",996998.07,"TG","[M+NH4]+"
"1_TG(14:0_15:0_18:1)+NH4","319",2348399.75,"TG","[M+NH4]+"
"1_TG(14:0_14:1_19:0)+NH4","319",772246.331,"TG","[M+NH4]+"
