MGDG,[M+Na]+,NL_T1&Na,NL_T2&Na,NL_T1&T2&Na
MGDG(17:1_24:1)+Na,875.6583,607.4181,509.3085,243.084
MGDG(17:1_25:0)+Na,891.6896,623.4494,509.3085,243.084
MGDG(17:1_26:0)+Na,905.7052,637.465,509.3085,243.084
MGDG(17:2_17:2)+Na,773.5175,507.2929,507.2929,243.084
MGDG(17:2_18:0)+Na,791.5644,525.3398,507.2929,243.084
MGDG(17:2_18:1)+Na,789.5488,523.3242,507.2929,243.084
MGDG(17:2_18:2)+Na,787.5331,521.3085,507.2929,243.084
MGDG(17:2_18:3)+Na,785.5175,519.2929,507.2929,243.084
MGDG(17:2_18:4)+Na,783.5018,517.2772,507.2929,243.084
MGDG(17:2_19:0)+Na,805.5801,539.3555,507.2929,243.084
MGDG(17:2_20:0)+Na,819.5957,553.3711,507.2929,243.084
MGDG(17:2_20:1)+Na,817.5801,551.3555,507.2929,243.084
MGDG(17:2_20:2)+Na,815.5644,549.3398,507.2929,243.084
MGDG(17:2_20:3)+Na,813.5488,547.3242,507.2929,243.084
MGDG(17:2_20:4)+Na,811.5331,545.3085,507.2929,243.084
MGDG(17:2_20:5)+Na,809.5175,543.2929,507.2929,243.084
MGDG(17:2_21:0)+Na,833.6114,567.3868,507.2929,243.084
MGDG(17:2_22:0)+Na,847.627,581.4024,507.2929,243.084
MGDG(17:2_22:1)+Na,845.6114,579.3868,507.2929,243.084
MGDG(17:2_22:2)+Na,843.5957,577.3711,507.2929,243.084
MGDG(17:2_22:3)+Na,841.5801,575.3555,507.2929,243.084
MGDG(17:2_22:4)+Na,839.5644,573.3398,507.2929,243.084
MGDG(17:2_22:5)+Na,837.5488,571.3242,507.2929,243.084
MGDG(17:2_22:6)+Na,835.5331,569.3085,507.2929,243.084
MGDG(17:2_23:0)+Na,861.6427,595.4181,507.2929,243.084
MGDG(17:2_24:0)+Na,875.6583,609.4337,507.2929,243.084
MGDG(17:2_24:1)+Na,873.6427,607.4181,507.2929,243.084
MGDG(17:2_25:0)+Na,889.674,623.4494,507.2929,243.084
MGDG(17:2_26:0)+Na,903.6896,637.465,507.2929,243.084
MGDG(18:0_18:0)+Na,809.6113,525.3398,525.3398,243.084
MGDG(18:0_18:1)+Na,807.5957,523.3242,525.3398,243.084
MGDG(18:0_18:2)+Na,805.58,521.3085,525.3398,243.084
MGDG(18:0_18:3)+Na,803.5644,519.2929,525.3398,243.084
MGDG(18:0_18:4)+Na,801.5487,517.2772,525.3398,243.084
MGDG(18:0_19:0)+Na,823.627,539.3555,525.3398,243.084
MGDG(18:0_20:0)+Na,837.6426,553.3711,525.3398,243.084
MGDG(18:0_20:1)+Na,835.627,551.3555,525.3398,243.084
MGDG(18:0_20:2)+Na,833.6113,549.3398,525.3398,243.084
MGDG(18:0_20:3)+Na,831.5957,547.3242,525.3398,243.084
MGDG(18:0_20:4)+Na,829.58,545.3085,525.3398,243.084
MGDG(18:0_20:5)+Na,827.5644,543.2929,525.3398,243.084
MGDG(18:0_21:0)+Na,851.6583,567.3868,525.3398,243.084
MGDG(18:0_22:0)+Na,865.6739,581.4024,525.3398,243.084
MGDG(18:0_22:1)+Na,863.6583,579.3868,525.3398,243.084
MGDG(18:0_22:2)+Na,861.6426,577.3711,525.3398,243.084
MGDG(18:0_22:3)+Na,859.627,575.3555,525.3398,243.084
MGDG(18:0_22:4)+Na,857.6113,573.3398,525.3398,243.084
MGDG(18:0_22:5)+Na,855.5957,571.3242,525.3398,243.084
MGDG(18:0_22:6)+Na,853.58,569.3085,525.3398,243.084
MGDG(18:0_23:0)+Na,879.6896,595.4181,525.3398,243.084
MGDG(18:0_24:0)+Na,893.7052,609.4337,525.3398,243.084
MGDG(18:0_24:1)+Na,891.6896,607.4181,525.3398,243.084
MGDG(18:0_25:0)+Na,907.7209,623.4494,525.3398,243.084
MGDG(18:0_26:0)+Na,921.7365,637.465,525.3398,243.084
MGDG(18:1_18:1)+Na,805.5801,523.3242,523.3242,243.084
MGDG(18:1_18:2)+Na,803.5644,521.3085,523.3242,243.084
MGDG(18:1_18:3)+Na,801.5488,519.2929,523.3242,243.084
MGDG(18:1_18:4)+Na,799.5331,517.2772,523.3242,243.084
MGDG(18:1_19:0)+Na,821.6114,539.3555,523.3242,243.084
MGDG(18:1_20:0)+Na,835.627,553.3711,523.3242,243.084
MGDG(18:1_20:1)+Na,833.6114,551.3555,523.3242,243.084
MGDG(18:1_20:2)+Na,831.5957,549.3398,523.3242,243.084
MGDG(18:1_20:3)+Na,829.5801,547.3242,523.3242,243.084
MGDG(18:1_20:4)+Na,827.5644,545.3085,523.3242,243.084
MGDG(18:1_20:5)+Na,825.5488,543.2929,523.3242,243.084
MGDG(18:1_21:0)+Na,849.6427,567.3868,523.3242,243.084
MGDG(18:1_22:0)+Na,863.6583,581.4024,523.3242,243.084
MGDG(18:1_22:1)+Na,861.6427,579.3868,523.3242,243.084
MGDG(18:1_22:2)+Na,859.627,577.3711,523.3242,243.084
MGDG(18:1_22:3)+Na,857.6114,575.3555,523.3242,243.084
MGDG(18:1_22:4)+Na,855.5957,573.3398,523.3242,243.084
MGDG(18:1_22:5)+Na,853.5801,571.3242,523.3242,243.084
MGDG(18:1_22:6)+Na,851.5644,569.3085,523.3242,243.084
MGDG(18:1_23:0)+Na,877.674,595.4181,523.3242,243.084
MGDG(18:1_24:0)+Na,891.6896,609.4337,523.3242,243.084
MGDG(18:1_24:1)+Na,889.674,607.4181,523.3242,243.084
MGDG(18:1_25:0)+Na,905.7053,623.4494,523.3242,243.084
MGDG(18:1_26:0)+Na,919.7209,637.465,523.3242,243.084
MGDG(18:2_18:2)+Na,801.5487,521.3085,521.3085,243.084
MGDG(18:2_18:3)+Na,799.5331,519.2929,521.3085,243.084
MGDG(18:2_18:4)+Na,797.5174,517.2772,521.3085,243.084
MGDG(18:2_19:0)+Na,819.5957,539.3555,521.3085,243.084
MGDG(18:2_20:0)+Na,833.6113,553.3711,521.3085,243.084
MGDG(18:2_20:1)+Na,831.5957,551.3555,521.3085,243.084
MGDG(18:2_20:2)+Na,829.58,549.3398,521.3085,243.084
MGDG(18:2_20:3)+Na,827.5644,547.3242,521.3085,243.084
MGDG(18:2_20:4)+Na,825.5487,545.3085,521.3085,243.084
MGDG(18:2_20:5)+Na,823.5331,543.2929,521.3085,243.084
MGDG(18:2_21:0)+Na,847.627,567.3868,521.3085,243.084
MGDG(18:2_22:0)+Na,861.6426,581.4024,521.3085,243.084
MGDG(18:2_22:1)+Na,859.627,579.3868,521.3085,243.084
MGDG(18:2_22:2)+Na,857.6113,577.3711,521.3085,243.084
MGDG(18:2_22:3)+Na,855.5957,575.3555,521.3085,243.084
MGDG(18:2_22:4)+Na,853.58,573.3398,521.3085,243.084
MGDG(18:2_22:5)+Na,851.5644,571.3242,521.3085,243.084
MGDG(18:2_22:6)+Na,849.5487,569.3085,521.3085,243.084
MGDG(18:2_23:0)+Na,875.6583,595.4181,521.3085,243.084
MGDG(18:2_24:0)+Na,889.6739,609.4337,521.3085,243.084
MGDG(18:2_24:1)+Na,887.6583,607.4181,521.3085,243.084
MGDG(18:2_25:0)+Na,903.6896,623.4494,521.3085,243.084
MGDG(18:2_26:0)+Na,917.7052,637.465,521.3085,243.084
MGDG(18:3_18:3)+Na,797.5175,519.2929,519.2929,243.084
MGDG(18:3_18:4)+Na,795.5018,517.2772,519.2929,243.084
MGDG(18:3_19:0)+Na,817.5801,539.3555,519.2929,243.084
MGDG(18:3_20:0)+Na,831.5957,553.3711,519.2929,243.084
MGDG(18:3_20:1)+Na,829.5801,551.3555,519.2929,243.084
MGDG(18:3_20:2)+Na,827.5644,549.3398,519.2929,243.084
MGDG(18:3_20:3)+Na,825.5488,547.3242,519.2929,243.084
MGDG(18:3_20:4)+Na,823.5331,545.3085,519.2929,243.084
MGDG(18:3_20:5)+Na,821.5175,543.2929,519.2929,243.084
MGDG(18:3_21:0)+Na,845.6114,567.3868,519.2929,243.084
MGDG(18:3_22:0)+Na,859.627,581.4024,519.2929,243.084
MGDG(18:3_22:1)+Na,857.6114,579.3868,519.2929,243.084
MGDG(18:3_22:2)+Na,855.5957,577.3711,519.2929,243.084
MGDG(18:3_22:3)+Na,853.5801,575.3555,519.2929,243.084
MGDG(18:3_22:4)+Na,851.5644,573.3398,519.2929,243.084
MGDG(18:3_22:5)+Na,849.5488,571.3242,519.2929,243.084
MGDG(18:3_22:6)+Na,847.5331,569.3085,519.2929,243.084
MGDG(18:3_23:0)+Na,873.6427,595.4181,519.2929,243.084
MGDG(18:3_24:0)+Na,887.6583,609.4337,519.2929,243.084
MGDG(18:3_24:1)+Na,885.6427,607.4181,519.2929,243.084
MGDG(18:3_25:0)+Na,901.674,623.4494,519.2929,243.084
MGDG(18:3_26:0)+Na,915.6896,637.465,519.2929,243.084
MGDG(18:4_18:4)+Na,793.4861,517.2772,517.2772,243.084
MGDG(18:4_19:0)+Na,815.5644,539.3555,517.2772,243.084
MGDG(18:4_20:0)+Na,829.58,553.3711,517.2772,243.084
MGDG(18:4_20:1)+Na,827.5644,551.3555,517.2772,243.084
MGDG(18:4_20:2)+Na,825.5487,549.3398,517.2772,243.084
MGDG(18:4_20:3)+Na,823.5331,547.3242,517.2772,243.084
MGDG(18:4_20:4)+Na,821.5174,545.3085,517.2772,243.084
MGDG(18:4_20:5)+Na,819.5018,543.2929,517.2772,243.084
MGDG(18:4_21:0)+Na,843.5957,567.3868,517.2772,243.084
MGDG(18:4_22:0)+Na,857.6113,581.4024,517.2772,243.084
MGDG(18:4_22:1)+Na,855.5957,579.3868,517.2772,243.084
MGDG(18:4_22:2)+Na,853.58,577.3711,517.2772,243.084
MGDG(18:4_22:3)+Na,851.5644,575.3555,517.2772,243.084
MGDG(18:4_22:4)+Na,849.5487,573.3398,517.2772,243.084
MGDG(18:4_22:5)+Na,847.5331,571.3242,517.2772,243.084
MGDG(18:4_22:6)+Na,845.5174,569.3085,517.2772,243.084
MGDG(18:4_23:0)+Na,871.627,595.4181,517.2772,243.084
MGDG(18:4_24:0)+Na,885.6426,609.4337,517.2772,243.084
MGDG(18:4_24:1)+Na,883.627,607.4181,517.2772,243.084
MGDG(18:4_25:0)+Na,899.6583,623.4494,517.2772,243.084
MGDG(18:4_26:0)+Na,913.6739,637.465,517.2772,243.084
MGDG(19:0_19:0)+Na,837.6427,539.3555,539.3555,243.084
MGDG(19:0_20:0)+Na,851.6583,553.3711,539.3555,243.084
MGDG(19:0_20:1)+Na,849.6427,551.3555,539.3555,243.084
MGDG(19:0_20:2)+Na,847.627,549.3398,539.3555,243.084
MGDG(19:0_20:3)+Na,845.6114,547.3242,539.3555,243.084
MGDG(19:0_20:4)+Na,843.5957,545.3085,539.3555,243.084
MGDG(19:0_20:5)+Na,841.5801,543.2929,539.3555,243.084
MGDG(19:0_21:0)+Na,865.674,567.3868,539.3555,243.084
MGDG(19:0_22:0)+Na,879.6896,581.4024,539.3555,243.084
MGDG(19:0_22:1)+Na,877.674,579.3868,539.3555,243.084
MGDG(19:0_22:2)+Na,875.6583,577.3711,539.3555,243.084
MGDG(19:0_22:3)+Na,873.6427,575.3555,539.3555,243.084
MGDG(19:0_22:4)+Na,871.627,573.3398,539.3555,243.084
MGDG(19:0_22:5)+Na,869.6114,571.3242,539.3555,243.084
MGDG(19:0_22:6)+Na,867.5957,569.3085,539.3555,243.084
MGDG(19:0_23:0)+Na,893.7053,595.4181,539.3555,243.084
MGDG(19:0_24:0)+Na,907.7209,609.4337,539.3555,243.084
MGDG(19:0_24:1)+Na,905.7053,607.4181,539.3555,243.084
MGDG(19:0_25:0)+Na,921.7366,623.4494,539.3555,243.084
MGDG(19:0_26:0)+Na,935.7522,637.465,539.3555,243.084
MGDG(20:0_20:0)+Na,865.6739,553.3711,553.3711,243.084
MGDG(20:0_20:1)+Na,863.6583,551.3555,553.3711,243.084
MGDG(20:0_20:2)+Na,861.6426,549.3398,553.3711,243.084
MGDG(20:0_20:3)+Na,859.627,547.3242,553.3711,243.084
MGDG(20:0_20:4)+Na,857.6113,545.3085,553.3711,243.084
MGDG(20:0_20:5)+Na,855.5957,543.2929,553.3711,243.084
MGDG(20:0_21:0)+Na,879.6896,567.3868,553.3711,243.084
MGDG(20:0_22:0)+Na,893.7052,581.4024,553.3711,243.084
MGDG(20:0_22:1)+Na,891.6896,579.3868,553.3711,243.084
MGDG(20:0_22:2)+Na,889.6739,577.3711,553.3711,243.084
MGDG(20:0_22:3)+Na,887.6583,575.3555,553.3711,243.084
MGDG(20:0_22:4)+Na,885.6426,573.3398,553.3711,243.084
MGDG(20:0_22:5)+Na,883.627,571.3242,553.3711,243.084
MGDG(20:0_22:6)+Na,881.6113,569.3085,553.3711,243.084
MGDG(20:0_23:0)+Na,907.7209,595.4181,553.3711,243.084
MGDG(20:0_24:0)+Na,921.7365,609.4337,553.3711,243.084
MGDG(20:0_24:1)+Na,919.7209,607.4181,553.3711,243.084
MGDG(20:0_25:0)+Na,935.7522,623.4494,553.3711,243.084
MGDG(20:0_26:0)+Na,949.7678,637.465,553.3711,243.084
MGDG(20:1_20:1)+Na,861.6427,551.3555,551.3555,243.084
MGDG(20:1_20:2)+Na,859.627,549.3398,551.3555,243.084
MGDG(20:1_20:3)+Na,857.6114,547.3242,551.3555,243.084
MGDG(20:1_20:4)+Na,855.5957,545.3085,551.3555,243.084
MGDG(20:1_20:5)+Na,853.5801,543.2929,551.3555,243.084
MGDG(20:1_21:0)+Na,877.674,567.3868,551.3555,243.084
MGDG(20:1_22:0)+Na,891.6896,581.4024,551.3555,243.084
MGDG(20:1_22:1)+Na,889.674,579.3868,551.3555,243.084
MGDG(20:1_22:2)+Na,887.6583,577.3711,551.3555,243.084
MGDG(20:1_22:3)+Na,885.6427,575.3555,551.3555,243.084
MGDG(20:1_22:4)+Na,883.627,573.3398,551.3555,243.084
MGDG(20:1_22:5)+Na,881.6114,571.3242,551.3555,243.084
MGDG(20:1_22:6)+Na,879.5957,569.3085,551.3555,243.084
MGDG(20:1_23:0)+Na,905.7053,595.4181,551.3555,243.084
MGDG(20:1_24:0)+Na,919.7209,609.4337,551.3555,243.084
MGDG(20:1_24:1)+Na,917.7053,607.4181,551.3555,243.084
MGDG(20:1_25:0)+Na,933.7366,623.4494,551.3555,243.084
MGDG(20:1_26:0)+Na,947.7522,637.465,551.3555,243.084
MGDG(20:2_20:2)+Na,857.6113,549.3398,549.3398,243.084
MGDG(20:2_20:3)+Na,855.5957,547.3242,549.3398,243.084
MGDG(20:2_20:4)+Na,853.58,545.3085,549.3398,243.084
MGDG(20:2_20:5)+Na,851.5644,543.2929,549.3398,243.084
MGDG(20:2_21:0)+Na,875.6583,567.3868,549.3398,243.084
MGDG(20:2_22:0)+Na,889.6739,581.4024,549.3398,243.084
MGDG(20:2_22:1)+Na,887.6583,579.3868,549.3398,243.084
MGDG(20:2_22:2)+Na,885.6426,577.3711,549.3398,243.084
MGDG(20:2_22:3)+Na,883.627,575.3555,549.3398,243.084
MGDG(20:2_22:4)+Na,881.6113,573.3398,549.3398,243.084
MGDG(20:2_22:5)+Na,879.5957,571.3242,549.3398,243.084
MGDG(20:2_22:6)+Na,877.58,569.3085,549.3398,243.084
MGDG(20:2_23:0)+Na,903.6896,595.4181,549.3398,243.084
MGDG(20:2_24:0)+Na,917.7052,609.4337,549.3398,243.084
MGDG(20:2_24:1)+Na,915.6896,607.4181,549.3398,243.084
MGDG(20:2_25:0)+Na,931.7209,623.4494,549.3398,243.084
MGDG(20:2_26:0)+Na,945.7365,637.465,549.3398,243.084
MGDG(20:3_20:3)+Na,853.5801,547.3242,547.3242,243.084
MGDG(20:3_20:4)+Na,851.5644,545.3085,547.3242,243.084
MGDG(20:3_20:5)+Na,849.5488,543.2929,547.3242,243.084
MGDG(20:3_21:0)+Na,873.6427,567.3868,547.3242,243.084
MGDG(20:3_22:0)+Na,887.6583,581.4024,547.3242,243.084
MGDG(20:3_22:1)+Na,885.6427,579.3868,547.3242,243.084
MGDG(20:3_22:2)+Na,883.627,577.3711,547.3242,243.084
MGDG(20:3_22:3)+Na,881.6114,575.3555,547.3242,243.084
MGDG(20:3_22:4)+Na,879.5957,573.3398,547.3242,243.084
MGDG(20:3_22:5)+Na,877.5801,571.3242,547.3242,243.084
MGDG(20:3_22:6)+Na,875.5644,569.3085,547.3242,243.084
MGDG(20:3_23:0)+Na,901.674,595.4181,547.3242,243.084
MGDG(20:3_24:0)+Na,915.6896,609.4337,547.3242,243.084
MGDG(20:3_24:1)+Na,913.674,607.4181,547.3242,243.084
MGDG(20:3_25:0)+Na,929.7053,623.4494,547.3242,243.084
MGDG(20:3_26:0)+Na,943.7209,637.465,547.3242,243.084
MGDG(20:4_20:4)+Na,849.5487,545.3085,545.3085,243.084
MGDG(20:4_20:5)+Na,847.5331,543.2929,545.3085,243.084
MGDG(20:4_21:0)+Na,871.627,567.3868,545.3085,243.084
MGDG(20:4_22:0)+Na,885.6426,581.4024,545.3085,243.084
MGDG(20:4_22:1)+Na,883.627,579.3868,545.3085,243.084
MGDG(20:4_22:2)+Na,881.6113,577.3711,545.3085,243.084
MGDG(20:4_22:3)+Na,879.5957,575.3555,545.3085,243.084
MGDG(20:4_22:4)+Na,877.58,573.3398,545.3085,243.084
MGDG(20:4_22:5)+Na,875.5644,571.3242,545.3085,243.084
MGDG(20:4_22:6)+Na,873.5487,569.3085,545.3085,243.084
MGDG(20:4_23:0)+Na,899.6583,595.4181,545.3085,243.084
MGDG(20:4_24:0)+Na,913.6739,609.4337,545.3085,243.084
MGDG(20:4_24:1)+Na,911.6583,607.4181,545.3085,243.084
MGDG(20:4_25:0)+Na,927.6896,623.4494,545.3085,243.084
MGDG(20:4_26:0)+Na,941.7052,637.465,545.3085,243.084
MGDG(20:5_20:5)+Na,845.5175,543.2929,543.2929,243.084
MGDG(20:5_21:0)+Na,869.6114,567.3868,543.2929,243.084
MGDG(20:5_22:0)+Na,883.627,581.4024,543.2929,243.084
MGDG(20:5_22:1)+Na,881.6114,579.3868,543.2929,243.084
MGDG(20:5_22:2)+Na,879.5957,577.3711,543.2929,243.084
MGDG(20:5_22:3)+Na,877.5801,575.3555,543.2929,243.084
MGDG(20:5_22:4)+Na,875.5644,573.3398,543.2929,243.084
MGDG(20:5_22:5)+Na,873.5488,571.3242,543.2929,243.084
MGDG(20:5_22:6)+Na,871.5331,569.3085,543.2929,243.084
MGDG(20:5_23:0)+Na,897.6427,595.4181,543.2929,243.084
MGDG(20:5_24:0)+Na,911.6583,609.4337,543.2929,243.084
MGDG(20:5_24:1)+Na,909.6427,607.4181,543.2929,243.084
MGDG(20:5_25:0)+Na,925.674,623.4494,543.2929,243.084
MGDG(20:5_26:0)+Na,939.6896,637.465,543.2929,243.084
MGDG(21:0_21:0)+Na,893.7053,567.3868,567.3868,243.084
MGDG(21:0_22:0)+Na,907.7209,581.4024,567.3868,243.084
MGDG(21:0_22:1)+Na,905.7053,579.3868,567.3868,243.084
MGDG(21:0_22:2)+Na,903.6896,577.3711,567.3868,243.084
MGDG(21:0_22:3)+Na,901.674,575.3555,567.3868,243.084
MGDG(21:0_22:4)+Na,899.6583,573.3398,567.3868,243.084
MGDG(21:0_22:5)+Na,897.6427,571.3242,567.3868,243.084
MGDG(21:0_22:6)+Na,895.627,569.3085,567.3868,243.084
MGDG(21:0_23:0)+Na,921.7366,595.4181,567.3868,243.084
MGDG(21:0_24:0)+Na,935.7522,609.4337,567.3868,243.084
MGDG(21:0_24:1)+Na,933.7366,607.4181,567.3868,243.084
MGDG(21:0_25:0)+Na,949.7679,623.4494,567.3868,243.084
MGDG(21:0_26:0)+Na,963.7835,637.465,567.3868,243.084
MGDG(22:0_22:0)+Na,921.7365,581.4024,581.4024,243.084
MGDG(22:0_22:1)+Na,919.7209,579.3868,581.4024,243.084
MGDG(22:0_22:2)+Na,917.7052,577.3711,581.4024,243.084
MGDG(22:0_22:3)+Na,915.6896,575.3555,581.4024,243.084
MGDG(22:0_22:4)+Na,913.6739,573.3398,581.4024,243.084
MGDG(22:0_22:5)+Na,911.6583,571.3242,581.4024,243.084
MGDG(22:0_22:6)+Na,909.6426,569.3085,581.4024,243.084
MGDG(22:0_23:0)+Na,935.7522,595.4181,581.4024,243.084
MGDG(22:0_24:0)+Na,949.7678,609.4337,581.4024,243.084
MGDG(22:0_24:1)+Na,947.7522,607.4181,581.4024,243.084
MGDG(22:0_25:0)+Na,963.7835,623.4494,581.4024,243.084
MGDG(22:0_26:0)+Na,977.7991,637.465,581.4024,243.084
MGDG(22:1_22:1)+Na,917.7053,579.3868,579.3868,243.084
MGDG(22:1_22:2)+Na,915.6896,577.3711,579.3868,243.084
MGDG(22:1_22:3)+Na,913.674,575.3555,579.3868,243.084
MGDG(22:1_22:4)+Na,911.6583,573.3398,579.3868,243.084
MGDG(22:1_22:5)+Na,909.6427,571.3242,579.3868,243.084
MGDG(22:1_22:6)+Na,907.627,569.3085,579.3868,243.084
MGDG(22:1_23:0)+Na,933.7366,595.4181,579.3868,243.084
MGDG(22:1_24:0)+Na,947.7522,609.4337,579.3868,243.084
MGDG(22:1_24:1)+Na,945.7366,607.4181,579.3868,243.084
MGDG(22:1_25:0)+Na,961.7679,623.4494,579.3868,243.084
MGDG(22:1_26:0)+Na,975.7835,637.465,579.3868,243.084
MGDG(22:2_22:2)+Na,913.6739,577.3711,577.3711,243.084
MGDG(22:2_22:3)+Na,911.6583,575.3555,577.3711,243.084
MGDG(22:2_22:4)+Na,909.6426,573.3398,577.3711,243.084
MGDG(22:2_22:5)+Na,907.627,571.3242,577.3711,243.084
MGDG(22:2_22:6)+Na,905.6113,569.3085,577.3711,243.084
MGDG(22:2_23:0)+Na,931.7209,595.4181,577.3711,243.084
MGDG(22:2_24:0)+Na,945.7365,609.4337,577.3711,243.084
MGDG(22:2_24:1)+Na,943.7209,607.4181,577.3711,243.084
MGDG(22:2_25:0)+Na,959.7522,623.4494,577.3711,243.084
MGDG(22:2_26:0)+Na,973.7678,637.465,577.3711,243.084
MGDG(22:3_22:3)+Na,909.6427,575.3555,575.3555,243.084
MGDG(22:3_22:4)+Na,907.627,573.3398,575.3555,243.084
MGDG(22:3_22:5)+Na,905.6114,571.3242,575.3555,243.084
MGDG(22:3_22:6)+Na,903.5957,569.3085,575.3555,243.084
MGDG(22:3_23:0)+Na,929.7053,595.4181,575.3555,243.084
MGDG(22:3_24:0)+Na,943.7209,609.4337,575.3555,243.084
MGDG(22:3_24:1)+Na,941.7053,607.4181,575.3555,243.084
MGDG(22:3_25:0)+Na,957.7366,623.4494,575.3555,243.084
MGDG(22:3_26:0)+Na,971.7522,637.465,575.3555,243.084
MGDG(22:4_22:4)+Na,905.6113,573.3398,573.3398,243.084
MGDG(22:4_22:5)+Na,903.5957,571.3242,573.3398,243.084
MGDG(22:4_22:6)+Na,901.58,569.3085,573.3398,243.084
MGDG(22:4_23:0)+Na,927.6896,595.4181,573.3398,243.084
MGDG(22:4_24:0)+Na,941.7052,609.4337,573.3398,243.084
MGDG(22:4_24:1)+Na,939.6896,607.4181,573.3398,243.084
MGDG(22:4_25:0)+Na,955.7209,623.4494,573.3398,243.084
MGDG(22:4_26:0)+Na,969.7365,637.465,573.3398,243.084
MGDG(22:5_22:5)+Na,901.5801,571.3242,571.3242,243.084
MGDG(22:5_22:6)+Na,899.5644,569.3085,571.3242,243.084
MGDG(22:5_23:0)+Na,925.674,595.4181,571.3242,243.084
MGDG(22:5_24:0)+Na,939.6896,609.4337,571.3242,243.084
MGDG(22:5_24:1)+Na,937.674,607.4181,571.3242,243.084
MGDG(22:5_25:0)+Na,953.7053,623.4494,571.3242,243.084
MGDG(22:5_26:0)+Na,967.7209,637.465,571.3242,243.084
MGDG(22:6_22:6)+Na,897.5487,569.3085,569.3085,243.084
MGDG(22:6_23:0)+Na,923.6583,595.4181,569.3085,243.084
MGDG(22:6_24:0)+Na,937.6739,609.4337,569.3085,243.084
MGDG(22:6_24:1)+Na,935.6583,607.4181,569.3085,243.084
MGDG(22:6_25:0)+Na,951.6896,623.4494,569.3085,243.084
MGDG(22:6_26:0)+Na,965.7052,637.465,569.3085,243.084
MGDG(23:0_23:0)+Na,949.7679,595.4181,595.4181,243.084
MGDG(23:0_24:0)+Na,963.7835,609.4337,595.4181,243.084
MGDG(23:0_24:1)+Na,961.7679,607.4181,595.4181,243.084
MGDG(23:0_25:0)+Na,977.7992,623.4494,595.4181,243.084
MGDG(23:0_26:0)+Na,991.8148,637.465,595.4181,243.084
MGDG(24:0_24:0)+Na,977.7991,609.4337,609.4337,243.084
MGDG(24:0_24:1)+Na,975.7835,607.4181,609.4337,243.084
MGDG(24:0_25:0)+Na,991.8148,623.4494,609.4337,243.084
MGDG(24:0_26:0)+Na,1005.8304,637.465,609.4337,243.084
MGDG(24:1_24:1)+Na,973.7679,607.4181,607.4181,243.084
MGDG(24:1_25:0)+Na,989.7992,623.4494,607.4181,243.084
MGDG(24:1_26:0)+Na,1003.8148,637.465,607.4181,243.084
MGDG(25:0_25:0)+Na,1005.8305,623.4494,623.4494,243.084
MGDG(25:0_26:0)+Na,1019.8461,637.465,623.4494,243.084
MGDG(26:0_26:0)+Na,1033.8617,637.465,637.465,243.084
MGDG(10:0_18:5)+Na,687.40744,515.26114,413.2146,243.084
MGDG(12:0_18:5)+Na,715.43874,515.26114,441.2459,243.084
MGDG(13:0_18:5)+Na,729.45444,515.26114,455.2616,243.084
MGDG(14:0_18:5)+Na,743.47004,515.26114,469.2772,243.084
MGDG(14:1_18:5)+Na,741.45444,515.26114,467.2616,243.084
MGDG(15:0_18:5)+Na,757.48574,515.26114,483.2929,243.084
MGDG(15:1_18:5)+Na,755.47004,515.26114,481.2772,243.084
MGDG(16:0_18:5)+Na,771.50134,515.26114,497.3085,243.084
MGDG(16:1_18:5)+Na,769.48574,515.26114,495.2929,243.084
MGDG(17:0_18:5)+Na,785.51704,515.26114,511.3242,243.084
MGDG(17:1_18:5)+Na,783.50134,515.26114,509.3085,243.084
MGDG(17:2_18:5)+Na,781.48574,515.26114,507.2929,243.084
MGDG(18:0_18:5)+Na,799.53264,515.26114,525.3398,243.084
MGDG(18:1_18:5)+Na,797.51704,515.26114,523.3242,243.084
MGDG(18:2_18:5)+Na,795.50134,515.26114,521.3085,243.084
MGDG(18:3_18:5)+Na,793.48574,515.26114,519.2929,243.084
MGDG(18:4_18:5)+Na,791.47004,515.26114,517.2772,243.084
MGDG(19:0_18:5)+Na,813.54834,515.26114,539.3555,243.084
MGDG(20:0_18:5)+Na,827.56394,515.26114,553.3711,243.084
MGDG(20:1_18:5)+Na,825.54834,515.26114,551.3555,243.084
MGDG(20:2_18:5)+Na,823.53264,515.26114,549.3398,243.084
MGDG(20:3_18:5)+Na,821.51704,515.26114,547.3242,243.084
MGDG(20:4_18:5)+Na,819.50134,515.26114,545.3085,243.084
MGDG(20:5_18:5)+Na,817.48574,515.26114,543.2929,243.084
MGDG(21:0_18:5)+Na,841.57964,515.26114,567.3868,243.084
MGDG(22:0_18:5)+Na,855.59524,515.26114,581.4024,243.084
MGDG(22:1_18:5)+Na,853.57964,515.26114,579.3868,243.084
MGDG(22:2_18:5)+Na,851.56394,515.26114,577.3711,243.084
MGDG(22:3_18:5)+Na,849.54834,515.26114,575.3555,243.084
MGDG(22:4_18:5)+Na,847.53264,515.26114,573.3398,243.084
MGDG(22:5_18:5)+Na,845.51704,515.26114,571.3242,243.084
MGDG(22:6_18:5)+Na,843.50134,515.26114,569.3085,243.084
MGDG(23:0_18:5)+Na,869.61094,515.26114,595.4181,243.084
MGDG(24:0_18:5)+Na,883.62654,515.26114,609.4337,243.084
MGDG(24:1_18:5)+Na,881.61094,515.26114,607.4181,243.084
