Plasmenyl-TG,[M+NH4]+,NL R2COOH,NL R3COOH
plasmenyl-TG(P-16:1_8:0_23:0)+NH4,792.7441,631.6024,421.3676
plasmenyl-TG(P-16:1_8:0_24:0)+NH4,806.7597,645.618,421.3676
plasmenyl-TG(P-16:1_8:0_24:1)+NH4,804.7441,643.6024,421.3676
plasmenyl-TG(P-16:1_8:0_25:0)+NH4,820.7754,659.6337,421.3676
plasmenyl-TG(P-16:1_8:0_26:0)+NH4,834.791,673.6493,421.3676
plasmenyl-TG(P-16:1_10:0_10:0)+NH4,638.5719,449.3989,449.3989
plasmenyl-TG(P-16:1_10:0_12:0)+NH4,666.6032,477.4302,449.3989
plasmenyl-TG(P-16:1_10:0_13:0)+NH4,680.6189,491.4459,449.3989
plasmenyl-TG(P-16:1_10:0_14:0)+NH4,694.6345,505.4615,449.3989
plasmenyl-TG(P-16:1_10:0_14:1)+NH4,692.6189,503.4459,449.3989
plasmenyl-TG(P-16:1_10:0_15:0)+NH4,708.6502,519.4772,449.3989
plasmenyl-TG(P-16:1_10:0_15:1)+NH4,706.6345,517.4615,449.3989
plasmenyl-TG(P-16:1_10:0_16:0)+NH4,722.6658,533.4928,449.3989
plasmenyl-TG(P-16:1_10:0_16:1)+NH4,720.6502,531.4772,449.3989
plasmenyl-TG(P-16:1_10:0_17:0)+NH4,736.6815,547.5085,449.3989
plasmenyl-TG(P-16:1_10:0_17:1)+NH4,734.6658,545.4928,449.3989
plasmenyl-TG(P-16:1_10:0_17:2)+NH4,732.6502,543.4772,449.3989
plasmenyl-TG(P-16:1_10:0_18:0)+NH4,750.6971,561.5241,449.3989
plasmenyl-TG(P-16:1_10:0_18:1)+NH4,748.6815,559.5085,449.3989
plasmenyl-TG(P-16:1_10:0_18:2)+NH4,746.6658,557.4928,449.3989
plasmenyl-TG(P-16:1_10:0_18:3)+NH4,744.6502,555.4772,449.3989
plasmenyl-TG(P-16:1_10:0_18:4)+NH4,742.6345,553.4615,449.3989
plasmenyl-TG(P-16:1_10:0_19:0)+NH4,764.7128,575.5398,449.3989
plasmenyl-TG(P-16:1_10:0_20:0)+NH4,778.7284,589.5554,449.3989
plasmenyl-TG(P-16:1_10:0_20:1)+NH4,776.7128,587.5398,449.3989
plasmenyl-TG(P-16:1_10:0_20:2)+NH4,774.6971,585.5241,449.3989
plasmenyl-TG(P-16:1_10:0_20:3)+NH4,772.6815,583.5085,449.3989
plasmenyl-TG(P-16:1_10:0_20:4)+NH4,770.6658,581.4928,449.3989
plasmenyl-TG(P-16:1_10:0_20:5)+NH4,768.6502,579.4772,449.3989
plasmenyl-TG(P-16:1_10:0_21:0)+NH4,792.7441,603.5711,449.3989
plasmenyl-TG(P-16:1_10:0_22:0)+NH4,806.7597,617.5867,449.3989
plasmenyl-TG(P-16:1_10:0_22:1)+NH4,804.7441,615.5711,449.3989
plasmenyl-TG(P-16:1_10:0_22:2)+NH4,802.7284,613.5554,449.3989
plasmenyl-TG(P-16:1_10:0_22:3)+NH4,800.7128,611.5398,449.3989
plasmenyl-TG(P-16:1_10:0_22:4)+NH4,798.6971,609.5241,449.3989
plasmenyl-TG(P-16:1_10:0_22:5)+NH4,796.6815,607.5085,449.3989
plasmenyl-TG(P-16:1_10:0_22:6)+NH4,794.6658,605.4928,449.3989
plasmenyl-TG(P-16:1_10:0_23:0)+NH4,820.7754,631.6024,449.3989
plasmenyl-TG(P-16:1_10:0_24:0)+NH4,834.791,645.618,449.3989
plasmenyl-TG(P-16:1_10:0_24:1)+NH4,832.7754,643.6024,449.3989
plasmenyl-TG(P-16:1_10:0_25:0)+NH4,848.8067,659.6337,449.3989
plasmenyl-TG(P-16:1_10:0_26:0)+NH4,862.8223,673.6493,449.3989
plasmenyl-TG(P-16:1_12:0_12:0)+NH4,694.6345,477.4302,477.4302
plasmenyl-TG(P-16:1_12:0_13:0)+NH4,708.6502,491.4459,477.4302
plasmenyl-TG(P-16:1_12:0_14:0)+NH4,722.6658,505.4615,477.4302
plasmenyl-TG(P-16:1_12:0_14:1)+NH4,720.6502,503.4459,477.4302
plasmenyl-TG(P-16:1_12:0_15:0)+NH4,736.6815,519.4772,477.4302
plasmenyl-TG(P-16:1_12:0_15:1)+NH4,734.6658,517.4615,477.4302
plasmenyl-TG(P-16:1_12:0_16:0)+NH4,750.6971,533.4928,477.4302
plasmenyl-TG(P-16:1_12:0_16:1)+NH4,748.6815,531.4772,477.4302
plasmenyl-TG(P-16:1_12:0_17:0)+NH4,764.7128,547.5085,477.4302
plasmenyl-TG(P-16:1_12:0_17:1)+NH4,762.6971,545.4928,477.4302
plasmenyl-TG(P-16:1_12:0_17:2)+NH4,760.6815,543.4772,477.4302
plasmenyl-TG(P-16:1_12:0_18:0)+NH4,778.7284,561.5241,477.4302
plasmenyl-TG(P-16:1_12:0_18:1)+NH4,776.7128,559.5085,477.4302
plasmenyl-TG(P-16:1_12:0_18:2)+NH4,774.6971,557.4928,477.4302
plasmenyl-TG(P-16:1_12:0_18:3)+NH4,772.6815,555.4772,477.4302
plasmenyl-TG(P-16:1_12:0_18:4)+NH4,770.6658,553.4615,477.4302
plasmenyl-TG(P-16:1_12:0_19:0)+NH4,792.7441,575.5398,477.4302
plasmenyl-TG(P-16:1_12:0_20:0)+NH4,806.7597,589.5554,477.4302
plasmenyl-TG(P-16:1_12:0_20:1)+NH4,804.7441,587.5398,477.4302
plasmenyl-TG(P-16:1_12:0_20:2)+NH4,802.7284,585.5241,477.4302
plasmenyl-TG(P-16:1_12:0_20:3)+NH4,800.7128,583.5085,477.4302
plasmenyl-TG(P-16:1_12:0_20:4)+NH4,798.6971,581.4928,477.4302
plasmenyl-TG(P-16:1_12:0_20:5)+NH4,796.6815,579.4772,477.4302
plasmenyl-TG(P-16:1_12:0_21:0)+NH4,820.7754,603.5711,477.4302
plasmenyl-TG(P-16:1_12:0_22:0)+NH4,834.791,617.5867,477.4302
plasmenyl-TG(P-16:1_12:0_22:1)+NH4,832.7754,615.5711,477.4302
plasmenyl-TG(P-16:1_12:0_22:2)+NH4,830.7597,613.5554,477.4302
plasmenyl-TG(P-16:1_12:0_22:3)+NH4,828.7441,611.5398,477.4302
plasmenyl-TG(P-16:1_12:0_22:4)+NH4,826.7284,609.5241,477.4302
plasmenyl-TG(P-16:1_12:0_22:5)+NH4,824.7128,607.5085,477.4302
plasmenyl-TG(P-16:1_12:0_22:6)+NH4,822.6971,605.4928,477.4302
plasmenyl-TG(P-16:1_12:0_23:0)+NH4,848.8067,631.6024,477.4302
plasmenyl-TG(P-16:1_12:0_24:0)+NH4,862.8223,645.618,477.4302
plasmenyl-TG(P-16:1_12:0_24:1)+NH4,860.8067,643.6024,477.4302
plasmenyl-TG(P-16:1_12:0_25:0)+NH4,876.838,659.6337,477.4302
plasmenyl-TG(P-16:1_12:0_26:0)+NH4,890.8536,673.6493,477.4302
plasmenyl-TG(P-16:1_13:0_13:0)+NH4,722.6659,491.4459,491.4459
plasmenyl-TG(P-16:1_13:0_14:0)+NH4,736.6815,505.4615,491.4459
plasmenyl-TG(P-16:1_13:0_14:1)+NH4,734.6659,503.4459,491.4459
plasmenyl-TG(P-16:1_13:0_15:0)+NH4,750.6972,519.4772,491.4459
plasmenyl-TG(P-16:1_13:0_15:1)+NH4,748.6815,517.4615,491.4459
plasmenyl-TG(P-16:1_13:0_16:0)+NH4,764.7128,533.4928,491.4459
plasmenyl-TG(P-16:1_13:0_16:1)+NH4,762.6972,531.4772,491.4459
plasmenyl-TG(P-16:1_13:0_17:0)+NH4,778.7285,547.5085,491.4459
plasmenyl-TG(P-16:1_13:0_17:1)+NH4,776.7128,545.4928,491.4459
plasmenyl-TG(P-16:1_13:0_17:2)+NH4,774.6972,543.4772,491.4459
plasmenyl-TG(P-16:1_13:0_18:0)+NH4,792.7441,561.5241,491.4459
plasmenyl-TG(P-16:1_13:0_18:1)+NH4,790.7285,559.5085,491.4459
plasmenyl-TG(P-16:1_13:0_18:2)+NH4,788.7128,557.4928,491.4459
plasmenyl-TG(P-16:1_13:0_18:3)+NH4,786.6972,555.4772,491.4459
plasmenyl-TG(P-16:1_13:0_18:4)+NH4,784.6815,553.4615,491.4459
plasmenyl-TG(P-16:1_13:0_19:0)+NH4,806.7598,575.5398,491.4459
plasmenyl-TG(P-16:1_13:0_20:0)+NH4,820.7754,589.5554,491.4459
plasmenyl-TG(P-16:1_13:0_20:1)+NH4,818.7598,587.5398,491.4459
plasmenyl-TG(P-16:1_13:0_20:2)+NH4,816.7441,585.5241,491.4459
plasmenyl-TG(P-16:1_13:0_20:3)+NH4,814.7285,583.5085,491.4459
plasmenyl-TG(P-16:1_13:0_20:4)+NH4,812.7128,581.4928,491.4459
plasmenyl-TG(P-16:1_13:0_20:5)+NH4,810.6972,579.4772,491.4459
plasmenyl-TG(P-16:1_13:0_21:0)+NH4,834.7911,603.5711,491.4459
plasmenyl-TG(P-16:1_13:0_22:0)+NH4,848.8067,617.5867,491.4459
plasmenyl-TG(P-16:1_13:0_22:1)+NH4,846.7911,615.5711,491.4459
plasmenyl-TG(P-16:1_13:0_22:2)+NH4,844.7754,613.5554,491.4459
plasmenyl-TG(P-16:1_13:0_22:3)+NH4,842.7598,611.5398,491.4459
plasmenyl-TG(P-16:1_13:0_22:4)+NH4,840.7441,609.5241,491.4459
plasmenyl-TG(P-16:1_13:0_22:5)+NH4,838.7285,607.5085,491.4459
plasmenyl-TG(P-16:1_13:0_22:6)+NH4,836.7128,605.4928,491.4459
plasmenyl-TG(P-16:1_13:0_23:0)+NH4,862.8224,631.6024,491.4459
plasmenyl-TG(P-16:1_13:0_24:0)+NH4,876.838,645.618,491.4459
plasmenyl-TG(P-16:1_13:0_24:1)+NH4,874.8224,643.6024,491.4459
plasmenyl-TG(P-16:1_13:0_25:0)+NH4,890.8537,659.6337,491.4459
plasmenyl-TG(P-16:1_13:0_26:0)+NH4,904.8693,673.6493,491.4459
plasmenyl-TG(P-16:1_14:0_14:0)+NH4,750.6971,505.4615,505.4615
plasmenyl-TG(P-16:1_14:0_14:1)+NH4,748.6815,503.4459,505.4615
plasmenyl-TG(P-16:1_14:0_15:0)+NH4,764.7128,519.4772,505.4615
plasmenyl-TG(P-16:1_14:0_15:1)+NH4,762.6971,517.4615,505.4615
plasmenyl-TG(P-16:1_14:0_16:0)+NH4,778.7284,533.4928,505.4615
plasmenyl-TG(P-16:1_14:0_16:1)+NH4,776.7128,531.4772,505.4615
plasmenyl-TG(P-16:1_14:0_17:0)+NH4,792.7441,547.5085,505.4615
plasmenyl-TG(P-16:1_14:0_17:1)+NH4,790.7284,545.4928,505.4615
plasmenyl-TG(P-16:1_14:0_17:2)+NH4,788.7128,543.4772,505.4615
plasmenyl-TG(P-16:1_14:0_18:0)+NH4,806.7597,561.5241,505.4615
plasmenyl-TG(P-16:1_14:0_18:1)+NH4,804.7441,559.5085,505.4615
plasmenyl-TG(P-16:1_14:0_18:2)+NH4,802.7284,557.4928,505.4615
plasmenyl-TG(P-16:1_14:0_18:3)+NH4,800.7128,555.4772,505.4615
plasmenyl-TG(P-16:1_14:0_18:4)+NH4,798.6971,553.4615,505.4615
plasmenyl-TG(P-16:1_14:0_19:0)+NH4,820.7754,575.5398,505.4615
plasmenyl-TG(P-16:1_14:0_20:0)+NH4,834.791,589.5554,505.4615
plasmenyl-TG(P-16:1_14:0_20:1)+NH4,832.7754,587.5398,505.4615
plasmenyl-TG(P-16:1_14:0_20:2)+NH4,830.7597,585.5241,505.4615
plasmenyl-TG(P-16:1_14:0_20:3)+NH4,828.7441,583.5085,505.4615
plasmenyl-TG(P-16:1_14:0_20:4)+NH4,826.7284,581.4928,505.4615
plasmenyl-TG(P-16:1_14:0_20:5)+NH4,824.7128,579.4772,505.4615
plasmenyl-TG(P-16:1_14:0_21:0)+NH4,848.8067,603.5711,505.4615
plasmenyl-TG(P-16:1_14:0_22:0)+NH4,862.8223,617.5867,505.4615
plasmenyl-TG(P-16:1_14:0_22:1)+NH4,860.8067,615.5711,505.4615
plasmenyl-TG(P-16:1_14:0_22:2)+NH4,858.791,613.5554,505.4615
plasmenyl-TG(P-16:1_14:0_22:3)+NH4,856.7754,611.5398,505.4615
plasmenyl-TG(P-16:1_14:0_22:4)+NH4,854.7597,609.5241,505.4615
plasmenyl-TG(P-16:1_14:0_22:5)+NH4,852.7441,607.5085,505.4615
plasmenyl-TG(P-16:1_14:0_22:6)+NH4,850.7284,605.4928,505.4615
plasmenyl-TG(P-16:1_14:0_23:0)+NH4,876.838,631.6024,505.4615
plasmenyl-TG(P-16:1_14:0_24:0)+NH4,890.8536,645.618,505.4615
plasmenyl-TG(P-16:1_14:0_24:1)+NH4,888.838,643.6024,505.4615
plasmenyl-TG(P-16:1_14:0_25:0)+NH4,904.8693,659.6337,505.4615
plasmenyl-TG(P-16:1_14:0_26:0)+NH4,918.8849,673.6493,505.4615
plasmenyl-TG(P-16:1_14:1_14:1)+NH4,746.6659,503.4459,503.4459
plasmenyl-TG(P-16:1_14:1_15:0)+NH4,762.6972,519.4772,503.4459
plasmenyl-TG(P-16:1_14:1_15:1)+NH4,760.6815,517.4615,503.4459
plasmenyl-TG(P-16:1_14:1_16:0)+NH4,776.7128,533.4928,503.4459
plasmenyl-TG(P-16:1_14:1_16:1)+NH4,774.6972,531.4772,503.4459
plasmenyl-TG(P-16:1_14:1_17:0)+NH4,790.7285,547.5085,503.4459
plasmenyl-TG(P-16:1_14:1_17:1)+NH4,788.7128,545.4928,503.4459
plasmenyl-TG(P-16:1_14:1_17:2)+NH4,786.6972,543.4772,503.4459
plasmenyl-TG(P-16:1_14:1_18:0)+NH4,804.7441,561.5241,503.4459
plasmenyl-TG(P-16:1_14:1_18:1)+NH4,802.7285,559.5085,503.4459
plasmenyl-TG(P-16:1_14:1_18:2)+NH4,800.7128,557.4928,503.4459
plasmenyl-TG(P-16:1_14:1_18:3)+NH4,798.6972,555.4772,503.4459
plasmenyl-TG(P-16:1_14:1_18:4)+NH4,796.6815,553.4615,503.4459
plasmenyl-TG(P-16:1_14:1_19:0)+NH4,818.7598,575.5398,503.4459
plasmenyl-TG(P-16:1_14:1_20:0)+NH4,832.7754,589.5554,503.4459
plasmenyl-TG(P-16:1_14:1_20:1)+NH4,830.7598,587.5398,503.4459
plasmenyl-TG(P-16:1_14:1_20:2)+NH4,828.7441,585.5241,503.4459
plasmenyl-TG(P-16:1_14:1_20:3)+NH4,826.7285,583.5085,503.4459
plasmenyl-TG(P-16:1_14:1_20:4)+NH4,824.7128,581.4928,503.4459
plasmenyl-TG(P-16:1_14:1_20:5)+NH4,822.6972,579.4772,503.4459
plasmenyl-TG(P-16:1_14:1_21:0)+NH4,846.7911,603.5711,503.4459
plasmenyl-TG(P-16:1_14:1_22:0)+NH4,860.8067,617.5867,503.4459
plasmenyl-TG(P-16:1_14:1_22:1)+NH4,858.7911,615.5711,503.4459
plasmenyl-TG(P-16:1_14:1_22:2)+NH4,856.7754,613.5554,503.4459
plasmenyl-TG(P-16:1_14:1_22:3)+NH4,854.7598,611.5398,503.4459
plasmenyl-TG(P-16:1_14:1_22:4)+NH4,852.7441,609.5241,503.4459
plasmenyl-TG(P-16:1_14:1_22:5)+NH4,850.7285,607.5085,503.4459
plasmenyl-TG(P-16:1_14:1_22:6)+NH4,848.7128,605.4928,503.4459
plasmenyl-TG(P-16:1_14:1_23:0)+NH4,874.8224,631.6024,503.4459
plasmenyl-TG(P-16:1_14:1_24:0)+NH4,888.838,645.618,503.4459
plasmenyl-TG(P-16:1_14:1_24:1)+NH4,886.8224,643.6024,503.4459
plasmenyl-TG(P-16:1_14:1_25:0)+NH4,902.8537,659.6337,503.4459
plasmenyl-TG(P-16:1_14:1_26:0)+NH4,916.8693,673.6493,503.4459
plasmenyl-TG(P-16:1_15:0_15:0)+NH4,778.7285,519.4772,519.4772
plasmenyl-TG(P-16:1_15:0_15:1)+NH4,776.7128,517.4615,519.4772
plasmenyl-TG(P-16:1_15:0_16:0)+NH4,792.7441,533.4928,519.4772
plasmenyl-TG(P-16:1_15:0_16:1)+NH4,790.7285,531.4772,519.4772
plasmenyl-TG(P-16:1_15:0_17:0)+NH4,806.7598,547.5085,519.4772
plasmenyl-TG(P-16:1_15:0_17:1)+NH4,804.7441,545.4928,519.4772
plasmenyl-TG(P-16:1_15:0_17:2)+NH4,802.7285,543.4772,519.4772
plasmenyl-TG(P-16:1_15:0_18:0)+NH4,820.7754,561.5241,519.4772
plasmenyl-TG(P-16:1_15:0_18:1)+NH4,818.7598,559.5085,519.4772
plasmenyl-TG(P-16:1_15:0_18:2)+NH4,816.7441,557.4928,519.4772
plasmenyl-TG(P-16:1_15:0_18:3)+NH4,814.7285,555.4772,519.4772
plasmenyl-TG(P-16:1_15:0_18:4)+NH4,812.7128,553.4615,519.4772
plasmenyl-TG(P-16:1_15:0_19:0)+NH4,834.7911,575.5398,519.4772
plasmenyl-TG(P-16:1_15:0_20:0)+NH4,848.8067,589.5554,519.4772
plasmenyl-TG(P-16:1_15:0_20:1)+NH4,846.7911,587.5398,519.4772
plasmenyl-TG(P-16:1_15:0_20:2)+NH4,844.7754,585.5241,519.4772
plasmenyl-TG(P-16:1_15:0_20:3)+NH4,842.7598,583.5085,519.4772
plasmenyl-TG(P-16:1_15:0_20:4)+NH4,840.7441,581.4928,519.4772
plasmenyl-TG(P-16:1_15:0_20:5)+NH4,838.7285,579.4772,519.4772
plasmenyl-TG(P-16:1_15:0_21:0)+NH4,862.8224,603.5711,519.4772
plasmenyl-TG(P-16:1_15:0_22:0)+NH4,876.838,617.5867,519.4772
plasmenyl-TG(P-16:1_15:0_22:1)+NH4,874.8224,615.5711,519.4772
plasmenyl-TG(P-16:1_15:0_22:2)+NH4,872.8067,613.5554,519.4772
plasmenyl-TG(P-16:1_15:0_22:3)+NH4,870.7911,611.5398,519.4772
plasmenyl-TG(P-16:1_15:0_22:4)+NH4,868.7754,609.5241,519.4772
plasmenyl-TG(P-16:1_15:0_22:5)+NH4,866.7598,607.5085,519.4772
plasmenyl-TG(P-16:1_15:0_22:6)+NH4,864.7441,605.4928,519.4772
plasmenyl-TG(P-16:1_15:0_23:0)+NH4,890.8537,631.6024,519.4772
plasmenyl-TG(P-16:1_15:0_24:0)+NH4,904.8693,645.618,519.4772
plasmenyl-TG(P-16:1_15:0_24:1)+NH4,902.8537,643.6024,519.4772
plasmenyl-TG(P-16:1_15:0_25:0)+NH4,918.885,659.6337,519.4772
plasmenyl-TG(P-16:1_15:0_26:0)+NH4,932.9006,673.6493,519.4772
plasmenyl-TG(P-16:1_15:1_15:1)+NH4,774.6971,517.4615,517.4615
plasmenyl-TG(P-16:1_15:1_16:0)+NH4,790.7284,533.4928,517.4615
plasmenyl-TG(P-16:1_15:1_16:1)+NH4,788.7128,531.4772,517.4615
plasmenyl-TG(P-16:1_15:1_17:0)+NH4,804.7441,547.5085,517.4615
plasmenyl-TG(P-16:1_15:1_17:1)+NH4,802.7284,545.4928,517.4615
plasmenyl-TG(P-16:1_15:1_17:2)+NH4,800.7128,543.4772,517.4615
plasmenyl-TG(P-16:1_15:1_18:0)+NH4,818.7597,561.5241,517.4615
plasmenyl-TG(P-16:1_15:1_18:1)+NH4,816.7441,559.5085,517.4615
plasmenyl-TG(P-16:1_15:1_18:2)+NH4,814.7284,557.4928,517.4615
plasmenyl-TG(P-16:1_15:1_18:3)+NH4,812.7128,555.4772,517.4615
plasmenyl-TG(P-16:1_15:1_18:4)+NH4,810.6971,553.4615,517.4615
plasmenyl-TG(P-16:1_15:1_19:0)+NH4,832.7754,575.5398,517.4615
plasmenyl-TG(P-16:1_15:1_20:0)+NH4,846.791,589.5554,517.4615
plasmenyl-TG(P-16:1_15:1_20:1)+NH4,844.7754,587.5398,517.4615
plasmenyl-TG(P-16:1_15:1_20:2)+NH4,842.7597,585.5241,517.4615
plasmenyl-TG(P-16:1_15:1_20:3)+NH4,840.7441,583.5085,517.4615
plasmenyl-TG(P-16:1_15:1_20:4)+NH4,838.7284,581.4928,517.4615
plasmenyl-TG(P-16:1_15:1_20:5)+NH4,836.7128,579.4772,517.4615
plasmenyl-TG(P-16:1_15:1_21:0)+NH4,860.8067,603.5711,517.4615
plasmenyl-TG(P-16:1_15:1_22:0)+NH4,874.8223,617.5867,517.4615
plasmenyl-TG(P-16:1_15:1_22:1)+NH4,872.8067,615.5711,517.4615
plasmenyl-TG(P-16:1_15:1_22:2)+NH4,870.791,613.5554,517.4615
plasmenyl-TG(P-16:1_15:1_22:3)+NH4,868.7754,611.5398,517.4615
plasmenyl-TG(P-16:1_15:1_22:4)+NH4,866.7597,609.5241,517.4615
plasmenyl-TG(P-16:1_15:1_22:5)+NH4,864.7441,607.5085,517.4615
plasmenyl-TG(P-16:1_15:1_22:6)+NH4,862.7284,605.4928,517.4615
plasmenyl-TG(P-16:1_15:1_23:0)+NH4,888.838,631.6024,517.4615
plasmenyl-TG(P-16:1_15:1_24:0)+NH4,902.8536,645.618,517.4615
plasmenyl-TG(P-16:1_15:1_24:1)+NH4,900.838,643.6024,517.4615
plasmenyl-TG(P-16:1_15:1_25:0)+NH4,916.8693,659.6337,517.4615
plasmenyl-TG(P-16:1_15:1_26:0)+NH4,930.8849,673.6493,517.4615
plasmenyl-TG(P-16:1_16:0_16:0)+NH4,806.7597,533.4928,533.4928
plasmenyl-TG(P-16:1_16:0_16:1)+NH4,804.7441,531.4772,533.4928
plasmenyl-TG(P-16:1_16:0_17:0)+NH4,820.7754,547.5085,533.4928
plasmenyl-TG(P-16:1_16:0_17:1)+NH4,818.7597,545.4928,533.4928
plasmenyl-TG(P-16:1_16:0_17:2)+NH4,816.7441,543.4772,533.4928
plasmenyl-TG(P-16:1_16:0_18:0)+NH4,834.791,561.5241,533.4928
plasmenyl-TG(P-16:1_16:0_18:1)+NH4,832.7754,559.5085,533.4928
plasmenyl-TG(P-16:1_16:0_18:2)+NH4,830.7597,557.4928,533.4928
plasmenyl-TG(P-16:1_16:0_18:3)+NH4,828.7441,555.4772,533.4928
plasmenyl-TG(P-16:1_16:0_18:4)+NH4,826.7284,553.4615,533.4928
plasmenyl-TG(P-16:1_16:0_19:0)+NH4,848.8067,575.5398,533.4928
plasmenyl-TG(P-16:1_16:0_20:0)+NH4,862.8223,589.5554,533.4928
plasmenyl-TG(P-16:1_16:0_20:1)+NH4,860.8067,587.5398,533.4928
plasmenyl-TG(P-16:1_16:0_20:2)+NH4,858.791,585.5241,533.4928
plasmenyl-TG(P-16:1_16:0_20:3)+NH4,856.7754,583.5085,533.4928
plasmenyl-TG(P-16:1_16:0_20:4)+NH4,854.7597,581.4928,533.4928
plasmenyl-TG(P-16:1_16:0_20:5)+NH4,852.7441,579.4772,533.4928
plasmenyl-TG(P-16:1_16:0_21:0)+NH4,876.838,603.5711,533.4928
plasmenyl-TG(P-16:1_16:0_22:0)+NH4,890.8536,617.5867,533.4928
plasmenyl-TG(P-16:1_16:0_22:1)+NH4,888.838,615.5711,533.4928
plasmenyl-TG(P-16:1_16:0_22:2)+NH4,886.8223,613.5554,533.4928
plasmenyl-TG(P-16:1_16:0_22:3)+NH4,884.8067,611.5398,533.4928
plasmenyl-TG(P-16:1_16:0_22:4)+NH4,882.791,609.5241,533.4928
plasmenyl-TG(P-16:1_16:0_22:5)+NH4,880.7754,607.5085,533.4928
plasmenyl-TG(P-16:1_16:0_22:6)+NH4,878.7597,605.4928,533.4928
plasmenyl-TG(P-16:1_16:0_23:0)+NH4,904.8693,631.6024,533.4928
plasmenyl-TG(P-16:1_16:0_24:0)+NH4,918.8849,645.618,533.4928
plasmenyl-TG(P-16:1_16:0_24:1)+NH4,916.8693,643.6024,533.4928
plasmenyl-TG(P-16:1_16:0_25:0)+NH4,932.9006,659.6337,533.4928
plasmenyl-TG(P-16:1_16:0_26:0)+NH4,946.9162,673.6493,533.4928
plasmenyl-TG(P-16:1_16:1_16:1)+NH4,802.7285,531.4772,531.4772
plasmenyl-TG(P-16:1_16:1_17:0)+NH4,818.7598,547.5085,531.4772
plasmenyl-TG(P-16:1_16:1_17:1)+NH4,816.7441,545.4928,531.4772
plasmenyl-TG(P-16:1_16:1_17:2)+NH4,814.7285,543.4772,531.4772
plasmenyl-TG(P-16:1_16:1_18:0)+NH4,832.7754,561.5241,531.4772
plasmenyl-TG(P-16:1_16:1_18:1)+NH4,830.7598,559.5085,531.4772
plasmenyl-TG(P-16:1_16:1_18:2)+NH4,828.7441,557.4928,531.4772
plasmenyl-TG(P-16:1_16:1_18:3)+NH4,826.7285,555.4772,531.4772
plasmenyl-TG(P-16:1_16:1_18:4)+NH4,824.7128,553.4615,531.4772
plasmenyl-TG(P-16:1_16:1_19:0)+NH4,846.7911,575.5398,531.4772
plasmenyl-TG(P-16:1_16:1_20:0)+NH4,860.8067,589.5554,531.4772
plasmenyl-TG(P-16:1_16:1_20:1)+NH4,858.7911,587.5398,531.4772
plasmenyl-TG(P-16:1_16:1_20:2)+NH4,856.7754,585.5241,531.4772
plasmenyl-TG(P-16:1_16:1_20:3)+NH4,854.7598,583.5085,531.4772
plasmenyl-TG(P-16:1_16:1_20:4)+NH4,852.7441,581.4928,531.4772
plasmenyl-TG(P-16:1_16:1_20:5)+NH4,850.7285,579.4772,531.4772
plasmenyl-TG(P-16:1_16:1_21:0)+NH4,874.8224,603.5711,531.4772
plasmenyl-TG(P-16:1_16:1_22:0)+NH4,888.838,617.5867,531.4772
plasmenyl-TG(P-16:1_16:1_22:1)+NH4,886.8224,615.5711,531.4772
plasmenyl-TG(P-16:1_16:1_22:2)+NH4,884.8067,613.5554,531.4772
plasmenyl-TG(P-16:1_16:1_22:3)+NH4,882.7911,611.5398,531.4772
plasmenyl-TG(P-16:1_16:1_22:4)+NH4,880.7754,609.5241,531.4772
plasmenyl-TG(P-16:1_16:1_22:5)+NH4,878.7598,607.5085,531.4772
plasmenyl-TG(P-16:1_16:1_22:6)+NH4,876.7441,605.4928,531.4772
plasmenyl-TG(P-16:1_16:1_23:0)+NH4,902.8537,631.6024,531.4772
plasmenyl-TG(P-16:1_16:1_24:0)+NH4,916.8693,645.618,531.4772
plasmenyl-TG(P-16:1_16:1_24:1)+NH4,914.8537,643.6024,531.4772
plasmenyl-TG(P-16:1_16:1_25:0)+NH4,930.885,659.6337,531.4772
plasmenyl-TG(P-16:1_16:1_26:0)+NH4,944.9006,673.6493,531.4772
plasmenyl-TG(P-16:1_17:0_17:0)+NH4,834.7911,547.5085,547.5085
plasmenyl-TG(P-16:1_17:0_17:1)+NH4,832.7754,545.4928,547.5085
plasmenyl-TG(P-16:1_17:0_17:2)+NH4,830.7598,543.4772,547.5085
plasmenyl-TG(P-16:1_17:0_18:0)+NH4,848.8067,561.5241,547.5085
plasmenyl-TG(P-16:1_17:0_18:1)+NH4,846.7911,559.5085,547.5085
plasmenyl-TG(P-16:1_17:0_18:2)+NH4,844.7754,557.4928,547.5085
plasmenyl-TG(P-16:1_17:0_18:3)+NH4,842.7598,555.4772,547.5085
plasmenyl-TG(P-16:1_17:0_18:4)+NH4,840.7441,553.4615,547.5085
plasmenyl-TG(P-16:1_17:0_19:0)+NH4,862.8224,575.5398,547.5085
plasmenyl-TG(P-16:1_17:0_20:0)+NH4,876.838,589.5554,547.5085
plasmenyl-TG(P-16:1_17:0_20:1)+NH4,874.8224,587.5398,547.5085
plasmenyl-TG(P-16:1_17:0_20:2)+NH4,872.8067,585.5241,547.5085
plasmenyl-TG(P-16:1_17:0_20:3)+NH4,870.7911,583.5085,547.5085
plasmenyl-TG(P-16:1_17:0_20:4)+NH4,868.7754,581.4928,547.5085
plasmenyl-TG(P-16:1_17:0_20:5)+NH4,866.7598,579.4772,547.5085
plasmenyl-TG(P-16:1_17:0_21:0)+NH4,890.8537,603.5711,547.5085
