Ganglioside,[M-H]-,Ceramide,M-NeuAc-H,M-Cer-C6H10O5,ion_C11H16NO8
GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-3GlcNAcbeta1-3(GalNAcbeta1-4)-HGalbeta1-4Glcbeta-Cer(d18:1_26:0)-H,2063.15333,676.6609,1772.05792,838.71372,290.08814
GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-3GlcNAcbeta1-3(GalNAcbeta1-4)-HGalbeta1-4Glcbeta-Cer(d18:1_24:1)-H,2033.10638,646.61398,1742.01097,808.6668,290.08814
GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-3GlcNAcbeta1-3(GalNAcbeta1-4)-HGalbeta1-4Glcbeta-Cer(d18:1_26:1)-H,2061.13768,674.64526,1770.04227,836.69808,290.08814
GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-3GlcNAcbeta1-3(Galbeta1-3GalNAcbeta1-4)-HGalbeta1-4Glcbeta-Cer(d18:1_16:0)-H,2085.049653,536.5045,1793.954243,698.55732,290.08814
GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-3GlcNAcbeta1-3(Galbeta1-3GalNAcbeta1-4)-HGalbeta1-4Glcbeta-Cer(d18:1_18:0)-H,2113.080953,564.53578,1821.985543,726.5886,290.08814
GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-3GlcNAcbeta1-3(Galbeta1-3GalNAcbeta1-4)-HGalbeta1-4Glcbeta-Cer(d18:1_20:0)-H,2141.112253,592.56706,1850.016843,754.61988,290.08814
GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-3GlcNAcbeta1-3(Galbeta1-3GalNAcbeta1-4)-HGalbeta1-4Glcbeta-Cer(d18:1_22:0)-H,2169.143553,620.59834,1878.048143,782.65116,290.08814
GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-3GlcNAcbeta1-3(Galbeta1-3GalNAcbeta1-4)-HGalbeta1-4Glcbeta-Cer(d18:1_24:0)-H,2197.174853,648.62962,1906.079443,810.68244,290.08814
GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-3GlcNAcbeta1-3(Galbeta1-3GalNAcbeta1-4)-HGalbeta1-4Glcbeta-Cer(d18:1_26:0)-H,2225.206153,676.6609,1934.110743,838.71372,290.08814
GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-3GlcNAcbeta1-3(Galbeta1-3GalNAcbeta1-4)-HGalbeta1-4Glcbeta-Cer(d18:1_24:1)-H,2195.159203,646.61398,1904.063793,808.6668,290.08814
GalNAcbeta1-4(NeuAcalpha2-3)-HGalbeta1-3GlcNAcbeta1-3(Galbeta1-3GalNAcbeta1-4)-HGalbeta1-4Glcbeta-Cer(d18:1_26:1)-H,2223.190503,674.64526,1932.095093,836.69808,290.08814
Galbeta1-3(NeuAcalpha2-6)-H(Fucalpha1-4)-HGlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_16:0)-H,1662.895993,536.5045,1371.800583,698.55732,290.08814
Galbeta1-3(NeuAcalpha2-6)-H(Fucalpha1-4)-HGlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_18:0)-H,1690.927293,564.53578,1399.831883,726.5886,290.08814
Galbeta1-3(NeuAcalpha2-6)-H(Fucalpha1-4)-HGlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_20:0)-H,1718.958593,592.56706,1427.863183,754.61988,290.08814
Galbeta1-3(NeuAcalpha2-6)-H(Fucalpha1-4)-HGlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_22:0)-H,1746.989894,620.59834,1455.894484,782.65116,290.08814
Galbeta1-3(NeuAcalpha2-6)-H(Fucalpha1-4)-HGlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_24:0)-H,1775.021194,648.62962,1483.925784,810.68244,290.08814
Galbeta1-3(NeuAcalpha2-6)-H(Fucalpha1-4)-HGlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_26:0)-H,1803.052494,676.6609,1511.957084,838.71372,290.08814
Galbeta1-3(NeuAcalpha2-6)-H(Fucalpha1-4)-HGlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_24:1)-H,1773.005544,646.61398,1481.910134,808.6668,290.08814
Galbeta1-3(NeuAcalpha2-6)-H(Fucalpha1-4)-HGlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_26:1)-H,1801.036844,674.64526,1509.941434,836.69808,290.08814
NeuAcalpha2-3Galbeta1-3Galbeta1-3GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_16:0)-H,1678.890908,536.5045,1387.795498,698.55732,290.08814
NeuAcalpha2-3Galbeta1-3Galbeta1-3GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_18:0)-H,1706.922208,564.53578,1415.826798,726.5886,290.08814
NeuAcalpha2-3Galbeta1-3Galbeta1-3GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_20:0)-H,1734.953508,592.56706,1443.858098,754.61988,290.08814
NeuAcalpha2-3Galbeta1-3Galbeta1-3GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_22:0)-H,1762.984808,620.59834,1471.889398,782.65116,290.08814
NeuAcalpha2-3Galbeta1-3Galbeta1-3GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_24:0)-H,1791.016108,648.62962,1499.920698,810.68244,290.08814
NeuAcalpha2-3Galbeta1-3Galbeta1-3GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_26:0)-H,1819.047408,676.6609,1527.951998,838.71372,290.08814
NeuAcalpha2-3Galbeta1-3Galbeta1-3GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_24:1)-H,1789.000458,646.61398,1497.905048,808.6668,290.08814
NeuAcalpha2-3Galbeta1-3Galbeta1-3GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_26:1)-H,1817.031758,674.64526,1525.936348,836.69808,290.08814
NeuAcalpha2-3Galbeta1-3(Fucalpha1-4)-HGlcNAcbeta1-3(Fucalpha1-3GlcNAcbeta1-6)-HGalbeta1-4Glcbeta-Cer(d18:1_16:0)-H,2012.033275,536.5045,1720.937865,698.55732,290.08814
NeuAcalpha2-3Galbeta1-3(Fucalpha1-4)-HGlcNAcbeta1-3(Fucalpha1-3GlcNAcbeta1-6)-HGalbeta1-4Glcbeta-Cer(d18:1_18:0)-H,2040.064575,564.53578,1748.969165,726.5886,290.08814
NeuAcalpha2-3Galbeta1-3(Fucalpha1-4)-HGlcNAcbeta1-3(Fucalpha1-3GlcNAcbeta1-6)-HGalbeta1-4Glcbeta-Cer(d18:1_20:0)-H,2068.095875,592.56706,1777.000465,754.61988,290.08814
NeuAcalpha2-3Galbeta1-3(Fucalpha1-4)-HGlcNAcbeta1-3(Fucalpha1-3GlcNAcbeta1-6)-HGalbeta1-4Glcbeta-Cer(d18:1_22:0)-H,2096.127175,620.59834,1805.031765,782.65116,290.08814
NeuAcalpha2-3Galbeta1-3(Fucalpha1-4)-HGlcNAcbeta1-3(Fucalpha1-3GlcNAcbeta1-6)-HGalbeta1-4Glcbeta-Cer(d18:1_24:0)-H,2124.158475,648.62962,1833.063065,810.68244,290.08814
NeuAcalpha2-3Galbeta1-3(Fucalpha1-4)-HGlcNAcbeta1-3(Fucalpha1-3GlcNAcbeta1-6)-HGalbeta1-4Glcbeta-Cer(d18:1_26:0)-H,2152.189775,676.6609,1861.094365,838.71372,290.08814
NeuAcalpha2-3Galbeta1-3(Fucalpha1-4)-HGlcNAcbeta1-3(Fucalpha1-3GlcNAcbeta1-6)-HGalbeta1-4Glcbeta-Cer(d18:1_24:1)-H,2122.142825,646.61398,1831.047415,808.6668,290.08814
NeuAcalpha2-3Galbeta1-3(Fucalpha1-4)-HGlcNAcbeta1-3(Fucalpha1-3GlcNAcbeta1-6)-HGalbeta1-4Glcbeta-Cer(d18:1_26:1)-H,2150.174125,674.64526,1859.078715,836.69808,290.08814
NeuAcalpha2-6Galbeta1-3GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_16:0)-H,1516.838084,536.5045,1225.742674,698.55732,290.08814
NeuAcalpha2-6Galbeta1-3GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_18:0)-H,1544.869384,564.53578,1253.773974,726.5886,290.08814
NeuAcalpha2-6Galbeta1-3GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_20:0)-H,1572.900685,592.56706,1281.805275,754.61988,290.08814
NeuAcalpha2-6Galbeta1-3GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_22:0)-H,1600.931985,620.59834,1309.836575,782.65116,290.08814
NeuAcalpha2-6Galbeta1-3GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_24:0)-H,1628.963285,648.62962,1337.867875,810.68244,290.08814
NeuAcalpha2-6Galbeta1-3GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_26:0)-H,1656.994585,676.6609,1365.899175,838.71372,290.08814
NeuAcalpha2-6Galbeta1-3GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_24:1)-H,1626.947635,646.61398,1335.852225,808.6668,290.08814
NeuAcalpha2-6Galbeta1-3GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_26:1)-H,1654.978935,674.64526,1363.883525,836.69808,290.08814
Galbeta1-3(NeuAcalpha2-6)-HGlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_16:0)-H,1516.838084,536.5045,1225.742674,698.55732,290.08814
Galbeta1-3(NeuAcalpha2-6)-HGlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_18:0)-H,1544.869384,564.53578,1253.773974,726.5886,290.08814
Galbeta1-3(NeuAcalpha2-6)-HGlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_20:0)-H,1572.900685,592.56706,1281.805275,754.61988,290.08814
Galbeta1-3(NeuAcalpha2-6)-HGlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_22:0)-H,1600.931985,620.59834,1309.836575,782.65116,290.08814
Galbeta1-3(NeuAcalpha2-6)-HGlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_24:0)-H,1628.963285,648.62962,1337.867875,810.68244,290.08814
Galbeta1-3(NeuAcalpha2-6)-HGlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_26:0)-H,1656.994585,676.6609,1365.899175,838.71372,290.08814
Galbeta1-3(NeuAcalpha2-6)-HGlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_24:1)-H,1626.947635,646.61398,1335.852225,808.6668,290.08814
Galbeta1-3(NeuAcalpha2-6)-HGlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_26:1)-H,1654.978935,674.64526,1363.883525,836.69808,290.08814
KDNalpha2-3Galbeta1-3GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_16:0)-H,1475.811535,536.5045,1184.716125,698.55732,290.08814
KDNalpha2-3Galbeta1-3GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_18:0)-H,1503.842835,564.53578,1212.747425,726.5886,290.08814
KDNalpha2-3Galbeta1-3GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_20:0)-H,1531.874136,592.56706,1240.778726,754.61988,290.08814
KDNalpha2-3Galbeta1-3GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_22:0)-H,1559.905436,620.59834,1268.810026,782.65116,290.08814
KDNalpha2-3Galbeta1-3GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_24:0)-H,1587.936736,648.62962,1296.841326,810.68244,290.08814
KDNalpha2-3Galbeta1-3GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_26:0)-H,1615.968036,676.6609,1324.872626,838.71372,290.08814
KDNalpha2-3Galbeta1-3GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_24:1)-H,1585.921086,646.61398,1294.825676,808.6668,290.08814
KDNalpha2-3Galbeta1-3GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_26:1)-H,1613.952386,674.64526,1322.856976,836.69808,290.08814
KDNalpha2-6Galbeta1-3GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_16:0)-H,1475.811535,536.5045,1184.716125,698.55732,290.08814
KDNalpha2-6Galbeta1-3GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_18:0)-H,1503.842835,564.53578,1212.747425,726.5886,290.08814
KDNalpha2-6Galbeta1-3GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_20:0)-H,1531.874136,592.56706,1240.778726,754.61988,290.08814
KDNalpha2-6Galbeta1-3GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_22:0)-H,1559.905436,620.59834,1268.810026,782.65116,290.08814
KDNalpha2-6Galbeta1-3GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_24:0)-H,1587.936736,648.62962,1296.841326,810.68244,290.08814
KDNalpha2-6Galbeta1-3GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_26:0)-H,1615.968036,676.6609,1324.872626,838.71372,290.08814
KDNalpha2-6Galbeta1-3GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_24:1)-H,1585.921086,646.61398,1294.825676,808.6668,290.08814
KDNalpha2-6Galbeta1-3GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_26:1)-H,1613.952386,674.64526,1322.856976,836.69808,290.08814
NeuAcalpha2-6Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_16:0)-H,1516.838084,536.5045,1225.742674,698.55732,290.08814
NeuAcalpha2-6Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_18:0)-H,1544.869384,564.53578,1253.773974,726.5886,290.08814
NeuAcalpha2-6Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_20:0)-H,1572.900685,592.56706,1281.805275,754.61988,290.08814
NeuAcalpha2-6Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_22:0)-H,1600.931985,620.59834,1309.836575,782.65116,290.08814
NeuAcalpha2-6Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_24:0)-H,1628.963285,648.62962,1337.867875,810.68244,290.08814
NeuAcalpha2-6Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_26:0)-H,1656.994585,676.6609,1365.899175,838.71372,290.08814
NeuAcalpha2-6Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_24:1)-H,1626.947635,646.61398,1335.852225,808.6668,290.08814
NeuAcalpha2-6Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_26:1)-H,1654.978935,674.64526,1363.883525,836.69808,290.08814
NeuAcalpha2-3Galbeta1-4(Fucalpha1-3)-HGlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_16:0)-H,1662.895993,536.5045,1371.800583,698.55732,290.08814
NeuAcalpha2-3Galbeta1-4(Fucalpha1-3)-HGlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_18:0)-H,1690.927293,564.53578,1399.831883,726.5886,290.08814
NeuAcalpha2-3Galbeta1-4(Fucalpha1-3)-HGlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_20:0)-H,1718.958593,592.56706,1427.863183,754.61988,290.08814
NeuAcalpha2-3Galbeta1-4(Fucalpha1-3)-HGlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_22:0)-H,1746.989894,620.59834,1455.894484,782.65116,290.08814
NeuAcalpha2-3Galbeta1-4(Fucalpha1-3)-HGlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_24:0)-H,1775.021194,648.62962,1483.925784,810.68244,290.08814
NeuAcalpha2-3Galbeta1-4(Fucalpha1-3)-HGlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_26:0)-H,1803.052494,676.6609,1511.957084,838.71372,290.08814
NeuAcalpha2-3Galbeta1-4(Fucalpha1-3)-HGlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_24:1)-H,1773.005544,646.61398,1481.910134,808.6668,290.08814
NeuAcalpha2-3Galbeta1-4(Fucalpha1-3)-HGlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_26:1)-H,1801.036844,674.64526,1509.941434,836.69808,290.08814
NeuAcalpha2-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_16:0)-H,1516.838084,536.5045,1225.742674,698.55732,290.08814
NeuAcalpha2-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_18:0)-H,1544.869384,564.53578,1253.773974,726.5886,290.08814
NeuAcalpha2-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_20:0)-H,1572.900685,592.56706,1281.805275,754.61988,290.08814
NeuAcalpha2-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_22:0)-H,1600.931985,620.59834,1309.836575,782.65116,290.08814
NeuAcalpha2-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_24:0)-H,1628.963285,648.62962,1337.867875,810.68244,290.08814
NeuAcalpha2-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_26:0)-H,1656.994585,676.6609,1365.899175,838.71372,290.08814
NeuAcalpha2-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_24:1)-H,1626.947635,646.61398,1335.852225,808.6668,290.08814
NeuAcalpha2-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_26:1)-H,1654.978935,674.64526,1363.883525,836.69808,290.08814
NeuAcalpha2-6Galbeta1-4GlcNAcbeta1-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_16:0)-H,1881.97028,536.5045,1590.87487,698.55732,290.08814
NeuAcalpha2-6Galbeta1-4GlcNAcbeta1-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_18:0)-H,1910.00158,564.53578,1618.90617,726.5886,290.08814
NeuAcalpha2-6Galbeta1-4GlcNAcbeta1-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_20:0)-H,1938.032881,592.56706,1646.937471,754.61988,290.08814
NeuAcalpha2-6Galbeta1-4GlcNAcbeta1-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_22:0)-H,1966.064181,620.59834,1674.968771,782.65116,290.08814
NeuAcalpha2-6Galbeta1-4GlcNAcbeta1-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_24:0)-H,1994.095481,648.62962,1703.000071,810.68244,290.08814
NeuAcalpha2-6Galbeta1-4GlcNAcbeta1-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_26:0)-H,2022.126781,676.6609,1731.031371,838.71372,290.08814
NeuAcalpha2-6Galbeta1-4GlcNAcbeta1-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_24:1)-H,1992.079831,646.61398,1700.984421,808.6668,290.08814
NeuAcalpha2-6Galbeta1-4GlcNAcbeta1-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_26:1)-H,2020.111131,674.64526,1729.015721,836.69808,290.08814
NeuAcalpha2-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_16:0)-H,1881.97028,536.5045,1590.87487,698.55732,290.08814
NeuAcalpha2-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_18:0)-H,1910.00158,564.53578,1618.90617,726.5886,290.08814
NeuAcalpha2-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_20:0)-H,1938.032881,592.56706,1646.937471,754.61988,290.08814
NeuAcalpha2-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_22:0)-H,1966.064181,620.59834,1674.968771,782.65116,290.08814
NeuAcalpha2-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_24:0)-H,1994.095481,648.62962,1703.000071,810.68244,290.08814
NeuAcalpha2-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_26:0)-H,2022.126781,676.6609,1731.031371,838.71372,290.08814
NeuAcalpha2-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_24:1)-H,1992.079831,646.61398,1700.984421,808.6668,290.08814
NeuAcalpha2-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_26:1)-H,2020.111131,674.64526,1729.015721,836.69808,290.08814
NeuAcalpha2-3Galbeta1-4(Fucalpha1-3)-HGlcNAcbeta1-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_16:0)-H,2028.028189,536.5045,1736.932779,698.55732,290.08814
NeuAcalpha2-3Galbeta1-4(Fucalpha1-3)-HGlcNAcbeta1-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_18:0)-H,2056.059489,564.53578,1764.964079,726.5886,290.08814
NeuAcalpha2-3Galbeta1-4(Fucalpha1-3)-HGlcNAcbeta1-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_20:0)-H,2084.090789,592.56706,1792.995379,754.61988,290.08814
NeuAcalpha2-3Galbeta1-4(Fucalpha1-3)-HGlcNAcbeta1-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_22:0)-H,2112.12209,620.59834,1821.02668,782.65116,290.08814
NeuAcalpha2-3Galbeta1-4(Fucalpha1-3)-HGlcNAcbeta1-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_24:0)-H,2140.15339,648.62962,1849.05798,810.68244,290.08814
NeuAcalpha2-3Galbeta1-4(Fucalpha1-3)-HGlcNAcbeta1-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_26:0)-H,2168.18469,676.6609,1877.08928,838.71372,290.08814
NeuAcalpha2-3Galbeta1-4(Fucalpha1-3)-HGlcNAcbeta1-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_24:1)-H,2138.13774,646.61398,1847.04233,808.6668,290.08814
NeuAcalpha2-3Galbeta1-4(Fucalpha1-3)-HGlcNAcbeta1-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_26:1)-H,2166.16904,674.64526,1875.07363,836.69808,290.08814
NeuAcalpha2-6GalNAcbeta1-4Galbeta1-4Glcbeta-Cer(d18:1_16:0)-H,1354.785261,536.5045,1063.689851,698.55732,290.08814
NeuAcalpha2-6GalNAcbeta1-4Galbeta1-4Glcbeta-Cer(d18:1_18:0)-H,1382.816561,564.53578,1091.721151,726.5886,290.08814
NeuAcalpha2-6GalNAcbeta1-4Galbeta1-4Glcbeta-Cer(d18:1_20:0)-H,1410.847861,592.56706,1119.752451,754.61988,290.08814
NeuAcalpha2-6GalNAcbeta1-4Galbeta1-4Glcbeta-Cer(d18:1_22:0)-H,1438.879161,620.59834,1147.783751,782.65116,290.08814
NeuAcalpha2-6GalNAcbeta1-4Galbeta1-4Glcbeta-Cer(d18:1_24:0)-H,1466.910461,648.62962,1175.815051,810.68244,290.08814
NeuAcalpha2-6GalNAcbeta1-4Galbeta1-4Glcbeta-Cer(d18:1_26:0)-H,1494.941762,676.6609,1203.846352,838.71372,290.08814
NeuAcalpha2-6GalNAcbeta1-4Galbeta1-4Glcbeta-Cer(d18:1_24:1)-H,1464.894811,646.61398,1173.799401,808.6668,290.08814
NeuAcalpha2-6GalNAcbeta1-4Galbeta1-4Glcbeta-Cer(d18:1_26:1)-H,1492.926112,674.64526,1201.830702,836.69808,290.08814
NeuAcalpha2-3Galbeta1-3GlcNAcbeta1-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_16:0)-H,1881.97028,536.5045,1590.87487,698.55732,290.08814
NeuAcalpha2-3Galbeta1-3GlcNAcbeta1-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_18:0)-H,1910.00158,564.53578,1618.90617,726.5886,290.08814
NeuAcalpha2-3Galbeta1-3GlcNAcbeta1-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_20:0)-H,1938.032881,592.56706,1646.937471,754.61988,290.08814
NeuAcalpha2-3Galbeta1-3GlcNAcbeta1-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_22:0)-H,1966.064181,620.59834,1674.968771,782.65116,290.08814
NeuAcalpha2-3Galbeta1-3GlcNAcbeta1-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_24:0)-H,1994.095481,648.62962,1703.000071,810.68244,290.08814
NeuAcalpha2-3Galbeta1-3GlcNAcbeta1-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_26:0)-H,2022.126781,676.6609,1731.031371,838.71372,290.08814
NeuAcalpha2-3Galbeta1-3GlcNAcbeta1-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_24:1)-H,1992.079831,646.61398,1700.984421,808.6668,290.08814
NeuAcalpha2-3Galbeta1-3GlcNAcbeta1-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_26:1)-H,2020.111131,674.64526,1729.015721,836.69808,290.08814
NeuAcalpha2-3Galbeta1-3(Fucalpha1-4)-HGlcNAcbeta1-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_16:0)-H,2028.028189,536.5045,1736.932779,698.55732,290.08814
NeuAcalpha2-3Galbeta1-3(Fucalpha1-4)-HGlcNAcbeta1-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_18:0)-H,2056.059489,564.53578,1764.964079,726.5886,290.08814
NeuAcalpha2-3Galbeta1-3(Fucalpha1-4)-HGlcNAcbeta1-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_20:0)-H,2084.090789,592.56706,1792.995379,754.61988,290.08814
NeuAcalpha2-3Galbeta1-3(Fucalpha1-4)-HGlcNAcbeta1-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_22:0)-H,2112.12209,620.59834,1821.02668,782.65116,290.08814
NeuAcalpha2-3Galbeta1-3(Fucalpha1-4)-HGlcNAcbeta1-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4Glcbeta-Cer(d18:1_24:0)-H,2140.15339,648.62962,1849.05798,810.68244,290.08814
