ether-TG,[M+NH4]+,NL R2COOH,NL R3COOH,RCO_2,RCO_3,RCO2+74.0368,RCO3+74.0368,RCO2+74-H2O,RCO3+74-H2O
plasmenyl-TG(P-16:1_16:0_16:0)+NH4,806.7597,533.4928,533.4928,239.23694,239.23694,313.2737364,313.2737364,295.2631714,295.2631714
plasmenyl-TG(P-16:1_16:0_16:1)+NH4,804.7441,531.4772,533.4928,239.23694,237.22134,313.2737364,311.2581364,295.2631714,293.2475714
plasmenyl-TG(P-16:1_16:0_17:0)+NH4,820.7754,547.5085,533.4928,239.23694,253.25264,313.2737364,327.2894364,295.2631714,309.2788714
plasmenyl-TG(P-16:1_16:0_17:1)+NH4,818.7597,545.4928,533.4928,239.23694,251.23694,313.2737364,325.2737364,295.2631714,307.2631714
plasmenyl-TG(P-16:1_16:0_17:2)+NH4,816.7441,543.4772,533.4928,239.23694,249.22134,313.2737364,323.2581364,295.2631714,305.2475714
plasmenyl-TG(P-16:1_16:0_18:0)+NH4,834.791,561.5241,533.4928,239.23694,267.26824,313.2737364,341.3050364,295.2631714,323.2944714
plasmenyl-TG(P-16:1_16:0_18:1)+NH4,832.7754,559.5085,533.4928,239.23694,265.25264,313.2737364,339.2894364,295.2631714,321.2788714
plasmenyl-TG(P-16:1_16:0_18:2)+NH4,830.7597,557.4928,533.4928,239.23694,263.23694,313.2737364,337.2737364,295.2631714,319.2631714
plasmenyl-TG(P-16:1_16:0_18:3)+NH4,828.7441,555.4772,533.4928,239.23694,261.22134,313.2737364,335.2581364,295.2631714,317.2475714
plasmenyl-TG(P-16:1_16:0_18:4)+NH4,826.7284,553.4615,533.4928,239.23694,259.20564,313.2737364,333.2424364,295.2631714,315.2318714
plasmenyl-TG(P-16:1_16:0_19:0)+NH4,848.8067,575.5398,533.4928,239.23694,281.28394,313.2737364,355.3207364,295.2631714,337.3101714
plasmenyl-TG(P-16:1_16:0_20:0)+NH4,862.8223,589.5554,533.4928,239.23694,295.29954,313.2737364,369.3363364,295.2631714,351.3257714
plasmenyl-TG(P-16:1_16:0_20:1)+NH4,860.8067,587.5398,533.4928,239.23694,293.28394,313.2737364,367.3207364,295.2631714,349.3101714
plasmenyl-TG(P-16:1_16:0_20:2)+NH4,858.791,585.5241,533.4928,239.23694,291.26824,313.2737364,365.3050364,295.2631714,347.2944714
plasmenyl-TG(P-16:1_16:0_20:3)+NH4,856.7754,583.5085,533.4928,239.23694,289.25264,313.2737364,363.2894364,295.2631714,345.2788714
plasmenyl-TG(P-16:1_16:0_20:4)+NH4,854.7597,581.4928,533.4928,239.23694,287.23694,313.2737364,361.2737364,295.2631714,343.2631714
plasmenyl-TG(P-16:1_16:0_20:5)+NH4,852.7441,579.4772,533.4928,239.23694,285.22134,313.2737364,359.2581364,295.2631714,341.2475714
plasmenyl-TG(P-16:1_16:0_21:0)+NH4,876.838,603.5711,533.4928,239.23694,309.31524,313.2737364,383.3520364,295.2631714,365.3414714
plasmenyl-TG(P-16:1_16:0_22:0)+NH4,890.8536,617.5867,533.4928,239.23694,323.33084,313.2737364,397.3676364,295.2631714,379.3570714
plasmenyl-TG(P-16:1_16:0_22:1)+NH4,888.838,615.5711,533.4928,239.23694,321.31524,313.2737364,395.3520364,295.2631714,377.3414714
plasmenyl-TG(P-16:1_16:0_22:2)+NH4,886.8223,613.5554,533.4928,239.23694,319.29954,313.2737364,393.3363364,295.2631714,375.3257714
plasmenyl-TG(P-16:1_16:0_22:3)+NH4,884.8067,611.5398,533.4928,239.23694,317.28394,313.2737364,391.3207364,295.2631714,373.3101714
plasmenyl-TG(P-16:1_16:0_22:4)+NH4,882.791,609.5241,533.4928,239.23694,315.26824,313.2737364,389.3050364,295.2631714,371.2944714
plasmenyl-TG(P-16:1_16:0_22:5)+NH4,880.7754,607.5085,533.4928,239.23694,313.25264,313.2737364,387.2894364,295.2631714,369.2788714
plasmenyl-TG(P-16:1_16:0_22:6)+NH4,878.7597,605.4928,533.4928,239.23694,311.23694,313.2737364,385.2737364,295.2631714,367.2631714
plasmenyl-TG(P-16:1_16:0_23:0)+NH4,904.8693,631.6024,533.4928,239.23694,337.34654,313.2737364,411.3833364,295.2631714,393.3727714
plasmenyl-TG(P-16:1_16:0_24:0)+NH4,918.8849,645.618,533.4928,239.23694,351.36214,313.2737364,425.3989364,295.2631714,407.3883714
plasmenyl-TG(P-16:1_16:0_24:1)+NH4,916.8693,643.6024,533.4928,239.23694,349.34654,313.2737364,423.3833364,295.2631714,405.3727714
plasmenyl-TG(P-16:1_16:0_25:0)+NH4,932.9006,659.6337,533.4928,239.23694,365.37784,313.2737364,439.4146364,295.2631714,421.4040714
plasmenyl-TG(P-16:1_16:0_26:0)+NH4,946.9162,673.6493,533.4928,239.23694,379.39344,313.2737364,453.4302364,295.2631714,435.4196714
plasmenyl-TG(P-16:1_16:1_16:1)+NH4,802.7285,531.4772,531.4772,237.22134,237.22134,311.2581364,311.2581364,293.2475714,293.2475714
plasmenyl-TG(P-16:1_16:1_17:0)+NH4,818.7598,547.5085,531.4772,237.22134,253.25264,311.2581364,327.2894364,293.2475714,309.2788714
plasmenyl-TG(P-16:1_16:1_17:1)+NH4,816.7441,545.4928,531.4772,237.22134,251.23694,311.2581364,325.2737364,293.2475714,307.2631714
plasmenyl-TG(P-16:1_16:1_17:2)+NH4,814.7285,543.4772,531.4772,237.22134,249.22134,311.2581364,323.2581364,293.2475714,305.2475714
plasmenyl-TG(P-16:1_16:1_18:0)+NH4,832.7754,561.5241,531.4772,237.22134,267.26824,311.2581364,341.3050364,293.2475714,323.2944714
plasmenyl-TG(P-16:1_16:1_18:1)+NH4,830.7598,559.5085,531.4772,237.22134,265.25264,311.2581364,339.2894364,293.2475714,321.2788714
plasmenyl-TG(P-16:1_16:1_18:2)+NH4,828.7441,557.4928,531.4772,237.22134,263.23694,311.2581364,337.2737364,293.2475714,319.2631714
plasmenyl-TG(P-16:1_16:1_18:3)+NH4,826.7285,555.4772,531.4772,237.22134,261.22134,311.2581364,335.2581364,293.2475714,317.2475714
plasmenyl-TG(P-16:1_16:1_18:4)+NH4,824.7128,553.4615,531.4772,237.22134,259.20564,311.2581364,333.2424364,293.2475714,315.2318714
plasmenyl-TG(P-16:1_16:1_19:0)+NH4,846.7911,575.5398,531.4772,237.22134,281.28394,311.2581364,355.3207364,293.2475714,337.3101714
plasmenyl-TG(P-16:1_16:1_20:0)+NH4,860.8067,589.5554,531.4772,237.22134,295.29954,311.2581364,369.3363364,293.2475714,351.3257714
plasmenyl-TG(P-16:1_16:1_20:1)+NH4,858.7911,587.5398,531.4772,237.22134,293.28394,311.2581364,367.3207364,293.2475714,349.3101714
plasmenyl-TG(P-16:1_16:1_20:2)+NH4,856.7754,585.5241,531.4772,237.22134,291.26824,311.2581364,365.3050364,293.2475714,347.2944714
plasmenyl-TG(P-16:1_16:1_20:3)+NH4,854.7598,583.5085,531.4772,237.22134,289.25264,311.2581364,363.2894364,293.2475714,345.2788714
plasmenyl-TG(P-16:1_16:1_20:4)+NH4,852.7441,581.4928,531.4772,237.22134,287.23694,311.2581364,361.2737364,293.2475714,343.2631714
plasmenyl-TG(P-16:1_16:1_20:5)+NH4,850.7285,579.4772,531.4772,237.22134,285.22134,311.2581364,359.2581364,293.2475714,341.2475714
plasmenyl-TG(P-16:1_16:1_21:0)+NH4,874.8224,603.5711,531.4772,237.22134,309.31524,311.2581364,383.3520364,293.2475714,365.3414714
plasmenyl-TG(P-16:1_16:1_22:0)+NH4,888.838,617.5867,531.4772,237.22134,323.33084,311.2581364,397.3676364,293.2475714,379.3570714
plasmenyl-TG(P-16:1_16:1_22:1)+NH4,886.8224,615.5711,531.4772,237.22134,321.31524,311.2581364,395.3520364,293.2475714,377.3414714
plasmenyl-TG(P-16:1_16:1_22:2)+NH4,884.8067,613.5554,531.4772,237.22134,319.29954,311.2581364,393.3363364,293.2475714,375.3257714
plasmenyl-TG(P-16:1_16:1_22:3)+NH4,882.7911,611.5398,531.4772,237.22134,317.28394,311.2581364,391.3207364,293.2475714,373.3101714
plasmenyl-TG(P-16:1_16:1_22:4)+NH4,880.7754,609.5241,531.4772,237.22134,315.26824,311.2581364,389.3050364,293.2475714,371.2944714
plasmenyl-TG(P-16:1_16:1_22:5)+NH4,878.7598,607.5085,531.4772,237.22134,313.25264,311.2581364,387.2894364,293.2475714,369.2788714
plasmenyl-TG(P-16:1_16:1_22:6)+NH4,876.7441,605.4928,531.4772,237.22134,311.23694,311.2581364,385.2737364,293.2475714,367.2631714
plasmenyl-TG(P-16:1_16:1_23:0)+NH4,902.8537,631.6024,531.4772,237.22134,337.34654,311.2581364,411.3833364,293.2475714,393.3727714
plasmenyl-TG(P-16:1_16:1_24:0)+NH4,916.8693,645.618,531.4772,237.22134,351.36214,311.2581364,425.3989364,293.2475714,407.3883714
plasmenyl-TG(P-16:1_16:1_24:1)+NH4,914.8537,643.6024,531.4772,237.22134,349.34654,311.2581364,423.3833364,293.2475714,405.3727714
plasmenyl-TG(P-16:1_16:1_25:0)+NH4,930.885,659.6337,531.4772,237.22134,365.37784,311.2581364,439.4146364,293.2475714,421.4040714
plasmenyl-TG(P-16:1_16:1_26:0)+NH4,944.9006,673.6493,531.4772,237.22134,379.39344,311.2581364,453.4302364,293.2475714,435.4196714
plasmenyl-TG(P-16:1_17:0_17:0)+NH4,834.7911,547.5085,547.5085,253.25264,253.25264,327.2894364,327.2894364,309.2788714,309.2788714
plasmenyl-TG(P-16:1_17:0_17:1)+NH4,832.7754,545.4928,547.5085,253.25264,251.23694,327.2894364,325.2737364,309.2788714,307.2631714
plasmenyl-TG(P-16:1_17:0_17:2)+NH4,830.7598,543.4772,547.5085,253.25264,249.22134,327.2894364,323.2581364,309.2788714,305.2475714
plasmenyl-TG(P-16:1_17:0_18:0)+NH4,848.8067,561.5241,547.5085,253.25264,267.26824,327.2894364,341.3050364,309.2788714,323.2944714
plasmenyl-TG(P-16:1_17:0_18:1)+NH4,846.7911,559.5085,547.5085,253.25264,265.25264,327.2894364,339.2894364,309.2788714,321.2788714
plasmenyl-TG(P-16:1_17:0_18:2)+NH4,844.7754,557.4928,547.5085,253.25264,263.23694,327.2894364,337.2737364,309.2788714,319.2631714
plasmenyl-TG(P-16:1_17:0_18:3)+NH4,842.7598,555.4772,547.5085,253.25264,261.22134,327.2894364,335.2581364,309.2788714,317.2475714
plasmenyl-TG(P-16:1_17:0_18:4)+NH4,840.7441,553.4615,547.5085,253.25264,259.20564,327.2894364,333.2424364,309.2788714,315.2318714
plasmenyl-TG(P-16:1_17:0_19:0)+NH4,862.8224,575.5398,547.5085,253.25264,281.28394,327.2894364,355.3207364,309.2788714,337.3101714
plasmenyl-TG(P-16:1_17:0_20:0)+NH4,876.838,589.5554,547.5085,253.25264,295.29954,327.2894364,369.3363364,309.2788714,351.3257714
plasmenyl-TG(P-16:1_17:0_20:1)+NH4,874.8224,587.5398,547.5085,253.25264,293.28394,327.2894364,367.3207364,309.2788714,349.3101714
plasmenyl-TG(P-16:1_17:0_20:2)+NH4,872.8067,585.5241,547.5085,253.25264,291.26824,327.2894364,365.3050364,309.2788714,347.2944714
plasmenyl-TG(P-16:1_17:0_20:3)+NH4,870.7911,583.5085,547.5085,253.25264,289.25264,327.2894364,363.2894364,309.2788714,345.2788714
plasmenyl-TG(P-16:1_17:0_20:4)+NH4,868.7754,581.4928,547.5085,253.25264,287.23694,327.2894364,361.2737364,309.2788714,343.2631714
plasmenyl-TG(P-16:1_17:0_20:5)+NH4,866.7598,579.4772,547.5085,253.25264,285.22134,327.2894364,359.2581364,309.2788714,341.2475714
plasmenyl-TG(P-16:1_17:0_21:0)+NH4,890.8537,603.5711,547.5085,253.25264,309.31524,327.2894364,383.3520364,309.2788714,365.3414714
plasmenyl-TG(P-16:1_17:0_22:0)+NH4,904.8693,617.5867,547.5085,253.25264,323.33084,327.2894364,397.3676364,309.2788714,379.3570714
plasmenyl-TG(P-16:1_17:0_22:1)+NH4,902.8537,615.5711,547.5085,253.25264,321.31524,327.2894364,395.3520364,309.2788714,377.3414714
plasmenyl-TG(P-16:1_17:0_22:2)+NH4,900.838,613.5554,547.5085,253.25264,319.29954,327.2894364,393.3363364,309.2788714,375.3257714
plasmenyl-TG(P-16:1_17:0_22:3)+NH4,898.8224,611.5398,547.5085,253.25264,317.28394,327.2894364,391.3207364,309.2788714,373.3101714
plasmenyl-TG(P-16:1_17:0_22:4)+NH4,896.8067,609.5241,547.5085,253.25264,315.26824,327.2894364,389.3050364,309.2788714,371.2944714
plasmenyl-TG(P-16:1_17:0_22:5)+NH4,894.7911,607.5085,547.5085,253.25264,313.25264,327.2894364,387.2894364,309.2788714,369.2788714
plasmenyl-TG(P-16:1_17:0_22:6)+NH4,892.7754,605.4928,547.5085,253.25264,311.23694,327.2894364,385.2737364,309.2788714,367.2631714
plasmenyl-TG(P-16:1_17:0_23:0)+NH4,918.885,631.6024,547.5085,253.25264,337.34654,327.2894364,411.3833364,309.2788714,393.3727714
plasmenyl-TG(P-16:1_17:0_24:0)+NH4,932.9006,645.618,547.5085,253.25264,351.36214,327.2894364,425.3989364,309.2788714,407.3883714
plasmenyl-TG(P-16:1_17:0_24:1)+NH4,930.885,643.6024,547.5085,253.25264,349.34654,327.2894364,423.3833364,309.2788714,405.3727714
plasmenyl-TG(P-16:1_17:0_25:0)+NH4,946.9163,659.6337,547.5085,253.25264,365.37784,327.2894364,439.4146364,309.2788714,421.4040714
plasmenyl-TG(P-16:1_17:0_26:0)+NH4,960.9319,673.6493,547.5085,253.25264,379.39344,327.2894364,453.4302364,309.2788714,435.4196714
plasmenyl-TG(P-16:1_17:1_17:1)+NH4,830.7597,545.4928,545.4928,251.23694,251.23694,325.2737364,325.2737364,307.2631714,307.2631714
plasmenyl-TG(P-16:1_17:1_17:2)+NH4,828.7441,543.4772,545.4928,251.23694,249.22134,325.2737364,323.2581364,307.2631714,305.2475714
plasmenyl-TG(P-16:1_17:1_18:0)+NH4,846.791,561.5241,545.4928,251.23694,267.26824,325.2737364,341.3050364,307.2631714,323.2944714
plasmenyl-TG(P-16:1_17:1_18:1)+NH4,844.7754,559.5085,545.4928,251.23694,265.25264,325.2737364,339.2894364,307.2631714,321.2788714
plasmenyl-TG(P-16:1_17:1_18:2)+NH4,842.7597,557.4928,545.4928,251.23694,263.23694,325.2737364,337.2737364,307.2631714,319.2631714
plasmenyl-TG(P-16:1_17:1_18:3)+NH4,840.7441,555.4772,545.4928,251.23694,261.22134,325.2737364,335.2581364,307.2631714,317.2475714
plasmenyl-TG(P-16:1_17:1_18:4)+NH4,838.7284,553.4615,545.4928,251.23694,259.20564,325.2737364,333.2424364,307.2631714,315.2318714
plasmenyl-TG(P-16:1_17:1_19:0)+NH4,860.8067,575.5398,545.4928,251.23694,281.28394,325.2737364,355.3207364,307.2631714,337.3101714
plasmenyl-TG(P-16:1_17:1_20:0)+NH4,874.8223,589.5554,545.4928,251.23694,295.29954,325.2737364,369.3363364,307.2631714,351.3257714
plasmenyl-TG(P-16:1_17:1_20:1)+NH4,872.8067,587.5398,545.4928,251.23694,293.28394,325.2737364,367.3207364,307.2631714,349.3101714
plasmenyl-TG(P-16:1_17:1_20:2)+NH4,870.791,585.5241,545.4928,251.23694,291.26824,325.2737364,365.3050364,307.2631714,347.2944714
plasmenyl-TG(P-16:1_17:1_20:3)+NH4,868.7754,583.5085,545.4928,251.23694,289.25264,325.2737364,363.2894364,307.2631714,345.2788714
plasmenyl-TG(P-16:1_17:1_20:4)+NH4,866.7597,581.4928,545.4928,251.23694,287.23694,325.2737364,361.2737364,307.2631714,343.2631714
plasmenyl-TG(P-16:1_17:1_20:5)+NH4,864.7441,579.4772,545.4928,251.23694,285.22134,325.2737364,359.2581364,307.2631714,341.2475714
plasmenyl-TG(P-16:1_17:1_21:0)+NH4,888.838,603.5711,545.4928,251.23694,309.31524,325.2737364,383.3520364,307.2631714,365.3414714
plasmenyl-TG(P-16:1_17:1_22:0)+NH4,902.8536,617.5867,545.4928,251.23694,323.33084,325.2737364,397.3676364,307.2631714,379.3570714
plasmenyl-TG(P-16:1_17:1_22:1)+NH4,900.838,615.5711,545.4928,251.23694,321.31524,325.2737364,395.3520364,307.2631714,377.3414714
plasmenyl-TG(P-16:1_17:1_22:2)+NH4,898.8223,613.5554,545.4928,251.23694,319.29954,325.2737364,393.3363364,307.2631714,375.3257714
plasmenyl-TG(P-16:1_17:1_22:3)+NH4,896.8067,611.5398,545.4928,251.23694,317.28394,325.2737364,391.3207364,307.2631714,373.3101714
plasmenyl-TG(P-16:1_17:1_22:4)+NH4,894.791,609.5241,545.4928,251.23694,315.26824,325.2737364,389.3050364,307.2631714,371.2944714
plasmenyl-TG(P-16:1_17:1_22:5)+NH4,892.7754,607.5085,545.4928,251.23694,313.25264,325.2737364,387.2894364,307.2631714,369.2788714
plasmenyl-TG(P-16:1_17:1_22:6)+NH4,890.7597,605.4928,545.4928,251.23694,311.23694,325.2737364,385.2737364,307.2631714,367.2631714
plasmenyl-TG(P-16:1_17:1_23:0)+NH4,916.8693,631.6024,545.4928,251.23694,337.34654,325.2737364,411.3833364,307.2631714,393.3727714
plasmenyl-TG(P-16:1_17:1_24:0)+NH4,930.8849,645.618,545.4928,251.23694,351.36214,325.2737364,425.3989364,307.2631714,407.3883714
plasmenyl-TG(P-16:1_17:1_24:1)+NH4,928.8693,643.6024,545.4928,251.23694,349.34654,325.2737364,423.3833364,307.2631714,405.3727714
plasmenyl-TG(P-16:1_17:1_25:0)+NH4,944.9006,659.6337,545.4928,251.23694,365.37784,325.2737364,439.4146364,307.2631714,421.4040714
plasmenyl-TG(P-16:1_17:1_26:0)+NH4,958.9162,673.6493,545.4928,251.23694,379.39344,325.2737364,453.4302364,307.2631714,435.4196714
plasmenyl-TG(P-16:1_17:2_17:2)+NH4,826.7285,543.4772,543.4772,249.22134,249.22134,323.2581364,323.2581364,305.2475714,305.2475714
plasmenyl-TG(P-16:1_17:2_18:0)+NH4,844.7754,561.5241,543.4772,249.22134,267.26824,323.2581364,341.3050364,305.2475714,323.2944714
plasmenyl-TG(P-16:1_17:2_18:1)+NH4,842.7598,559.5085,543.4772,249.22134,265.25264,323.2581364,339.2894364,305.2475714,321.2788714
plasmenyl-TG(P-16:1_17:2_18:2)+NH4,840.7441,557.4928,543.4772,249.22134,263.23694,323.2581364,337.2737364,305.2475714,319.2631714
plasmenyl-TG(P-16:1_17:2_18:3)+NH4,838.7285,555.4772,543.4772,249.22134,261.22134,323.2581364,335.2581364,305.2475714,317.2475714
plasmenyl-TG(P-16:1_17:2_18:4)+NH4,836.7128,553.4615,543.4772,249.22134,259.20564,323.2581364,333.2424364,305.2475714,315.2318714
plasmenyl-TG(P-16:1_17:2_19:0)+NH4,858.7911,575.5398,543.4772,249.22134,281.28394,323.2581364,355.3207364,305.2475714,337.3101714
plasmenyl-TG(P-16:1_17:2_20:0)+NH4,872.8067,589.5554,543.4772,249.22134,295.29954,323.2581364,369.3363364,305.2475714,351.3257714
plasmenyl-TG(P-16:1_17:2_20:1)+NH4,870.7911,587.5398,543.4772,249.22134,293.28394,323.2581364,367.3207364,305.2475714,349.3101714
plasmenyl-TG(P-16:1_17:2_20:2)+NH4,868.7754,585.5241,543.4772,249.22134,291.26824,323.2581364,365.3050364,305.2475714,347.2944714
plasmenyl-TG(P-16:1_17:2_20:3)+NH4,866.7598,583.5085,543.4772,249.22134,289.25264,323.2581364,363.2894364,305.2475714,345.2788714
plasmenyl-TG(P-16:1_17:2_20:4)+NH4,864.7441,581.4928,543.4772,249.22134,287.23694,323.2581364,361.2737364,305.2475714,343.2631714
plasmenyl-TG(P-16:1_17:2_20:5)+NH4,862.7285,579.4772,543.4772,249.22134,285.22134,323.2581364,359.2581364,305.2475714,341.2475714
plasmenyl-TG(P-16:1_17:2_21:0)+NH4,886.8224,603.5711,543.4772,249.22134,309.31524,323.2581364,383.3520364,305.2475714,365.3414714
plasmenyl-TG(P-16:1_17:2_22:0)+NH4,900.838,617.5867,543.4772,249.22134,323.33084,323.2581364,397.3676364,305.2475714,379.3570714
plasmenyl-TG(P-16:1_17:2_22:1)+NH4,898.8224,615.5711,543.4772,249.22134,321.31524,323.2581364,395.3520364,305.2475714,377.3414714
plasmenyl-TG(P-16:1_17:2_22:2)+NH4,896.8067,613.5554,543.4772,249.22134,319.29954,323.2581364,393.3363364,305.2475714,375.3257714
plasmenyl-TG(P-16:1_17:2_22:3)+NH4,894.7911,611.5398,543.4772,249.22134,317.28394,323.2581364,391.3207364,305.2475714,373.3101714
plasmenyl-TG(P-16:1_17:2_22:4)+NH4,892.7754,609.5241,543.4772,249.22134,315.26824,323.2581364,389.3050364,305.2475714,371.2944714
plasmenyl-TG(P-16:1_17:2_22:5)+NH4,890.7598,607.5085,543.4772,249.22134,313.25264,323.2581364,387.2894364,305.2475714,369.2788714
plasmenyl-TG(P-16:1_17:2_22:6)+NH4,888.7441,605.4928,543.4772,249.22134,311.23694,323.2581364,385.2737364,305.2475714,367.2631714
plasmenyl-TG(P-16:1_17:2_23:0)+NH4,914.8537,631.6024,543.4772,249.22134,337.34654,323.2581364,411.3833364,305.2475714,393.3727714
plasmenyl-TG(P-16:1_17:2_24:0)+NH4,928.8693,645.618,543.4772,249.22134,351.36214,323.2581364,425.3989364,305.2475714,407.3883714
plasmenyl-TG(P-16:1_17:2_24:1)+NH4,926.8537,643.6024,543.4772,249.22134,349.34654,323.2581364,423.3833364,305.2475714,405.3727714
plasmenyl-TG(P-16:1_17:2_25:0)+NH4,942.885,659.6337,543.4772,249.22134,365.37784,323.2581364,439.4146364,305.2475714,421.4040714
plasmenyl-TG(P-16:1_17:2_26:0)+NH4,956.9006,673.6493,543.4772,249.22134,379.39344,323.2581364,453.4302364,305.2475714,435.4196714
plasmenyl-TG(P-16:1_18:0_18:0)+NH4,862.8223,561.5241,561.5241,267.26824,267.26824,341.3050364,341.3050364,323.2944714,323.2944714
plasmenyl-TG(P-16:1_18:0_18:1)+NH4,860.8067,559.5085,561.5241,267.26824,265.25264,341.3050364,339.2894364,323.2944714,321.2788714
plasmenyl-TG(P-16:1_18:0_18:2)+NH4,858.791,557.4928,561.5241,267.26824,263.23694,341.3050364,337.2737364,323.2944714,319.2631714
plasmenyl-TG(P-16:1_18:0_18:3)+NH4,856.7754,555.4772,561.5241,267.26824,261.22134,341.3050364,335.2581364,323.2944714,317.2475714
plasmenyl-TG(P-16:1_18:0_18:4)+NH4,854.7597,553.4615,561.5241,267.26824,259.20564,341.3050364,333.2424364,323.2944714,315.2318714
plasmenyl-TG(P-16:1_18:0_19:0)+NH4,876.838,575.5398,561.5241,267.26824,281.28394,341.3050364,355.3207364,323.2944714,337.3101714
plasmenyl-TG(P-16:1_18:0_20:0)+NH4,890.8536,589.5554,561.5241,267.26824,295.29954,341.3050364,369.3363364,323.2944714,351.3257714
plasmenyl-TG(P-16:1_18:0_20:1)+NH4,888.838,587.5398,561.5241,267.26824,293.28394,341.3050364,367.3207364,323.2944714,349.3101714
plasmenyl-TG(P-16:1_18:0_20:2)+NH4,886.8223,585.5241,561.5241,267.26824,291.26824,341.3050364,365.3050364,323.2944714,347.2944714
plasmenyl-TG(P-16:1_18:0_20:3)+NH4,884.8067,583.5085,561.5241,267.26824,289.25264,341.3050364,363.2894364,323.2944714,345.2788714
plasmenyl-TG(P-16:1_18:0_20:4)+NH4,882.791,581.4928,561.5241,267.26824,287.23694,341.3050364,361.2737364,323.2944714,343.2631714
plasmenyl-TG(P-16:1_18:0_20:5)+NH4,880.7754,579.4772,561.5241,267.26824,285.22134,341.3050364,359.2581364,323.2944714,341.2475714
plasmenyl-TG(P-16:1_18:0_21:0)+NH4,904.8693,603.5711,561.5241,267.26824,309.31524,341.3050364,383.3520364,323.2944714,365.3414714
plasmenyl-TG(P-16:1_18:0_22:0)+NH4,918.8849,617.5867,561.5241,267.26824,323.33084,341.3050364,397.3676364,323.2944714,379.3570714
plasmenyl-TG(P-16:1_18:0_22:1)+NH4,916.8693,615.5711,561.5241,267.26824,321.31524,341.3050364,395.3520364,323.2944714,377.3414714
plasmenyl-TG(P-16:1_18:0_22:2)+NH4,914.8536,613.5554,561.5241,267.26824,319.29954,341.3050364,393.3363364,323.2944714,375.3257714
plasmenyl-TG(P-16:1_18:0_22:3)+NH4,912.838,611.5398,561.5241,267.26824,317.28394,341.3050364,391.3207364,323.2944714,373.3101714
plasmenyl-TG(P-16:1_18:0_22:4)+NH4,910.8223,609.5241,561.5241,267.26824,315.26824,341.3050364,389.3050364,323.2944714,371.2944714
plasmenyl-TG(P-16:1_18:0_22:5)+NH4,908.8067,607.5085,561.5241,267.26824,313.25264,341.3050364,387.2894364,323.2944714,369.2788714
plasmenyl-TG(P-16:1_18:0_22:6)+NH4,906.791,605.4928,561.5241,267.26824,311.23694,341.3050364,385.2737364,323.2944714,367.2631714
plasmenyl-TG(P-16:1_18:0_23:0)+NH4,932.9006,631.6024,561.5241,267.26824,337.34654,341.3050364,411.3833364,323.2944714,393.3727714
plasmenyl-TG(P-16:1_18:0_24:0)+NH4,946.9162,645.618,561.5241,267.26824,351.36214,341.3050364,425.3989364,323.2944714,407.3883714
plasmenyl-TG(P-16:1_18:0_24:1)+NH4,944.9006,643.6024,561.5241,267.26824,349.34654,341.3050364,423.3833364,323.2944714,405.3727714
plasmenyl-TG(P-16:1_18:0_25:0)+NH4,960.9319,659.6337,561.5241,267.26824,365.37784,341.3050364,439.4146364,323.2944714,421.4040714
plasmenyl-TG(P-16:1_18:0_26:0)+NH4,974.9475,673.6493,561.5241,267.26824,379.39344,341.3050364,453.4302364,323.2944714,435.4196714
plasmenyl-TG(P-16:1_18:1_18:1)+NH4,858.7911,559.5085,559.5085,265.25264,265.25264,339.2894364,339.2894364,321.2788714,321.2788714
plasmenyl-TG(P-16:1_18:1_18:2)+NH4,856.7754,557.4928,559.5085,265.25264,263.23694,339.2894364,337.2737364,321.2788714,319.2631714
plasmenyl-TG(P-16:1_18:1_18:3)+NH4,854.7598,555.4772,559.5085,265.25264,261.22134,339.2894364,335.2581364,321.2788714,317.2475714
plasmenyl-TG(P-16:1_18:1_18:4)+NH4,852.7441,553.4615,559.5085,265.25264,259.20564,339.2894364,333.2424364,321.2788714,315.2318714
plasmenyl-TG(P-16:1_18:1_19:0)+NH4,874.8224,575.5398,559.5085,265.25264,281.28394,339.2894364,355.3207364,321.2788714,337.3101714
plasmenyl-TG(P-16:1_18:1_20:0)+NH4,888.838,589.5554,559.5085,265.25264,295.29954,339.2894364,369.3363364,321.2788714,351.3257714
plasmenyl-TG(P-16:1_18:1_20:1)+NH4,886.8224,587.5398,559.5085,265.25264,293.28394,339.2894364,367.3207364,321.2788714,349.3101714
plasmenyl-TG(P-16:1_18:1_20:2)+NH4,884.8067,585.5241,559.5085,265.25264,291.26824,339.2894364,365.3050364,321.2788714,347.2944714
plasmenyl-TG(P-16:1_18:1_20:3)+NH4,882.7911,583.5085,559.5085,265.25264,289.25264,339.2894364,363.2894364,321.2788714,345.2788714
plasmenyl-TG(P-16:1_18:1_20:4)+NH4,880.7754,581.4928,559.5085,265.25264,287.23694,339.2894364,361.2737364,321.2788714,343.2631714
plasmenyl-TG(P-16:1_18:1_20:5)+NH4,878.7598,579.4772,559.5085,265.25264,285.22134,339.2894364,359.2581364,321.2788714,341.2475714
plasmenyl-TG(P-16:1_18:1_21:0)+NH4,902.8537,603.5711,559.5085,265.25264,309.31524,339.2894364,383.3520364,321.2788714,365.3414714
plasmenyl-TG(P-16:1_18:1_22:0)+NH4,916.8693,617.5867,559.5085,265.25264,323.33084,339.2894364,397.3676364,321.2788714,379.3570714
